block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 519 100 556 119 ON
1 1 1 2 96 569 101 622 118 THE
1 1 1 3 96 635 100 701 119 LAST
1 1 1 4 96 714 100 850 123 QUESTION
1 1 1 5 96 863 100 897 119 OF
1 1 1 6 92 911 100 1011 119 STEFAN
1 1 1 7 92 1024 100 1135 119 BANACH
1 1 1 8 94 1500 102 1511 119 5
2 1 1 1 93 178 161 210 193 (It
2 1 1 2 96 224 163 244 185 is
2 1 1 3 96 258 163 405 192 interesting
2 1 1 4 97 418 165 445 185 to
2 1 1 5 96 459 165 518 185 note
2 1 1 6 96 531 162 589 185 that
2 1 1 7 96 603 162 646 185 the
2 1 1 8 96 659 170 728 185 same
2 1 1 9 52 744 163 887 186 1936-1937
2 1 1 10 96 899 163 965 185 issue
2 1 1 11 96 978 162 1005 185 of
2 1 1 12 93 1020 162 1137 192 Comptes
2 1 1 13 92 1152 162 1252 186 Rendus
2 1 1 14 93 1268 162 1309 185 des
2 1 1 15 92 1324 162 1431 186 Séances
2 1 1 16 96 1447 162 1475 185 de
2 1 1 17 95 1490 162 1512 185 la
2 1 2 1 96 144 200 243 224 Société
2 1 2 2 96 255 200 296 223 des
2 1 2 3 96 309 200 425 224 Sciences
2 1 2 4 96 439 202 462 223 et
2 1 2 5 96 475 200 517 223 des
2 1 2 6 96 529 200 623 223 Lettres
2 1 2 7 96 637 200 665 223 de
2 1 2 8 96 683 200 797 224 Varsovie
2 1 2 9 96 811 201 836 223 in
2 1 2 10 93 847 200 928 223 which
2 1 2 11 73 940 200 1078 230 Stupecki’s
2 1 2 12 96 1090 208 1168 230 paper
2 1 2 13 96 1179 208 1229 223 was
2 1 2 14 96 1241 200 1383 230 published,
2 1 2 15 96 1396 201 1510 223 contains
2 1 3 1 96 142 239 186 262 the
2 1 3 2 93 201 247 279 269 paper
2 1 3 3 91 297 237 370 270 [We2]
2 1 3 4 96 388 239 414 262 of
2 1 3 5 93 428 239 528 262 Donald
2 1 3 6 92 543 239 568 262 L.
2 1 3 7 96 586 239 673 268 Webb,
2 1 3 8 96 691 247 705 262 a
2 1 3 9 96 720 239 786 262 fresh
2 1 3 10 96 801 239 863 262 PhD
2 1 3 11 96 879 239 943 262 from
