block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 200 312 251 335 this
1 1 1 2 96 266 320 351 342 paper.
1 1 1 3 95 375 312 429 335 The
1 1 1 4 96 443 312 573 335 literature
1 1 1 5 96 587 320 620 335 on
1 1 1 6 96 634 311 711 335 KAM
1 1 1 7 96 726 312 816 342 theory
1 1 1 8 96 830 313 850 335 is
1 1 1 9 96 864 320 998 335 enormous
1 1 1 10 96 1013 312 1063 335 and
1 1 1 11 96 1077 320 1104 335 so
1 1 1 12 96 1118 312 1189 335 there
1 1 1 13 96 1204 320 1245 335 are
1 1 1 14 96 1259 320 1335 342 many
1 1 1 15 96 1350 312 1474 342 potential
1 1 2 1 96 201 352 376 382 applications;
1 1 2 2 96 390 360 426 375 we
1 1 2 3 96 438 352 488 375 will
1 1 2 4 96 500 352 559 382 only
1 1 2 5 96 572 352 684 375 describe
1 1 2 6 96 697 352 755 375 here
1 1 2 7 96 767 360 836 375 some
1 1 2 8 96 849 352 876 375 of
1 1 2 9 96 886 352 958 375 those
1 1 2 10 96 971 352 1028 375 that
1 1 2 11 96 1041 360 1099 382 may
1 1 2 12 96 1112 352 1174 375 have
1 1 2 13 95 1187 360 1256 375 some
1 1 2 14 95 1268 353 1379 375 interest.
1 2 1 1 96 250 392 324 421 First,
1 2 1 2 96 337 392 387 415 and
1 2 1 3 96 398 400 467 415 more
1 2 1 4 96 478 392 650 422 importantly,
1 2 1 5 96 662 392 706 415 the
1 2 1 6 96 717 392 841 415 technical
1 2 1 7 96 852 393 982 415 estimates
1 2 1 8 96 993 400 1028 415 we
1 2 1 9 96 1040 392 1123 415 derive
1 2 1 10 96 1133 393 1159 415 in
1 2 1 11 96 1170 392 1307 422 Appendix
1 2 1 12 92 1326 392 1363 415 for
1 2 1 13 91 1375 392 1474 422 Gevrey
1 2 2 1 96 201 432 328 455 functions
1 2 2 2 96 340 432 451 462 actually
1 2 2 3 96 463 432 522 455 hold
1 2 2 4 95 534 435 590 455 true
1 2 2 5 96 602 432 639 455 for
1 2 2 6 96 651 440 666 455 a
1 2 2 7 96 677 432 756 462 larger
1 2 2 8 96 768 432 831 455 class
1 2 2 9 93 843 440 858 455 of
1 2 2 10 92 880 432 1141 455 ultra-differentiable
1 2 2 11 96 1153 432 1280 455 functions
1 2 2 12 96 1292 432 1349 455 that
1 2 2 13 96 1362 432 1474 455 includes
1 2 3 1 92 201 473 301 503 Gevrey
1 2 3 2 96 315 471 376 504 (and
1 2 3 3 96 387 473 446 496 thus
1 2 3 4 95 459 471 580 504 analytic)
1 2 3 5 96 594 473 721 496 functions
1 2 3 6 96 734 481 761 496 as
1 2 3 7 96 773 481 788 496 a
1 2 3 8 96 799 473 936 503 particular
1 2 3 9 96 949 481 1012 496 case.
1 2 3 10 95 1030 473 1091 496 This
1 2 3 11 96 1103 476 1148 496 not
1 2 3 12 96 1160 473 1219 503 only
1 2 3 13 96 1231 473 1300 496 leads
1 2 3 14 95 1312 476 1339 496 to
1 2 3 15 95 1351 481 1366 496 a
1 2 3 16 96 1377 473 1474 496 further
1 2 4 1 96 201 514 332 536 extension
1 2 4 2 95 345 513 372 536 of
1 2 4 3 96 383 513 426 536 the
1 2 4 4 96 440 513 516 536 KAM
1 2 4 5 96 530 513 656 536 theorems
1 2 4 6 96 670 521 705 536 we
1 2 4 7 96 718 516 786 536 state
1 2 4 8 96 799 513 849 536 and
1 2 4 9 96 880 521 937 536 prove
1 2 4 10 96 951 513 1016 542 here,
1 2 4 11 96 1031 513 1077 536 but
1 2 4 12 96 1091 513 1144 536 also
1 2 4 13 96 1157 513 1241 536 allows
1 2 4 14 96 1254 521 1283 536 us
1 2 4 15 96 1296 516 1323 536 to
1 2 4 16 96 1337 513 1474 543 generalize
1 2 5 1 96 201 553 273 576 other
1 2 5 2 96 283 554 457 583 perturbative
1 2 5 3 96 467 553 558 576 results
1 2 5 4 96 568 553 629 576 such
1 2 5 5 96 639 561 666 576 as
1 2 5 6 93 676 553 719 576 the
1 2 5 7 92 730 553 909 576 Nekhoroshev
1 2 5 8 96 919 553 1033 576 theorem
1 2 5 9 96 1045 552 1192 584 (extending
1 2 5 10 97 1202 553 1245 576 the
1 2 5 11 96 1255 553 1332 576 result
1 2 5 12 96 1343 553 1370 576 of
1 2 6 1 96 201 594 226 616 in
1 2 6 2 96 236 593 279 616 the
1 2 6 3 96 289 601 383 616 convex
1 2 6 4 96 393 601 449 616 case
1 2 6 5 96 459 593 509 616 and
1 2 6 6 96 635 594 660 616 in
1 2 6 7 96 669 593 713 616 the
1 2 6 8 96 723 596 793 623 steep
1 2 6 9 96 803 591 879 624 case).
1 2 6 10 96 896 593 931 616 To
1 2 6 11 96 941 593 1002 623 keep
1 2 6 12 96 1012 593 1063 616 this
1 2 6 13 96 1073 601 1151 623 paper
