block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 478 143 602 161 DELAYED
1 1 1 2 95 615 143 794 162 ACCEPTANCE
1 1 1 3 95 808 143 889 162 MCMC
1 1 1 4 96 902 144 938 161 BY
1 1 1 5 93 951 143 1020 161 DATA
1 1 1 6 92 1034 143 1221 162 SUBSAMPLING
1 1 1 7 96 1477 144 1499 161 12
1 2 1 1 96 235 203 353 228 Sherlock
1 2 1 2 95 365 207 390 227 et
1 2 1 3 92 404 204 434 227 al.
1 2 1 4 92 452 202 553 235 (2015b)
1 2 1 5 96 571 202 607 235 (in
1 2 1 6 92 620 212 635 227 a
1 2 1 7 91 648 204 885 234 non-subsampling
1 2 1 8 96 898 202 1011 235 context)
1 2 1 9 96 1026 204 1103 234 study
1 2 1 10 96 1116 204 1160 227 the
1 2 1 11 96 1173 204 1309 228 statistical
1 2 1 12 96 1322 204 1449 234 efficiency
1 2 1 13 96 1462 203 1499 227 for
1 2 2 1 96 201 268 305 298 delayed
1 2 2 2 95 316 271 467 298 acceptance
1 2 2 3 96 478 268 585 291 random
1 2 2 4 96 596 268 660 291 walk
1 2 2 5 96 671 268 820 298 Metropolis
1 2 2 6 96 832 268 889 297 and,
1 2 2 7 96 902 276 1037 297 moreover,
1 2 2 8 96 1050 276 1083 291 an
1 2 2 9 96 1093 268 1221 298 efficiency
1 2 2 10 96 1232 268 1289 291 that
1 2 2 11 96 1301 268 1353 291 also
1 2 2 12 96 1364 268 1435 291 takes
1 2 2 13 96 1446 269 1499 291 into
1 2 3 1 96 201 335 307 355 account
1 2 3 2 96 320 332 363 355 the
1 2 3 3 96 375 332 578 362 computational
1 2 3 4 96 589 331 717 362 efficiency
1 2 3 5 96 729 332 765 355 for
1 2 3 6 96 777 332 821 355 the
1 2 3 7 96 833 340 888 355 case
1 2 3 8 95 900 332 982 355 where
1 2 3 9 96 993 332 1037 355 the
1 2 3 10 96 1048 335 1131 362 target
1 2 3 11 96 1144 333 1164 355 is
1 2 3 12 93 1175 332 1311 355 estimated
1 2 3 13 91 1325 330 1499 363 (DA-PMMH
1 2 4 1 97 201 398 226 420 in
1 2 4 2 96 239 396 340 421 Section
1 2 4 3 96 352 395 387 428 4).
1 3 1 1 96 235 461 354 485 Christen
1 3 1 2 96 369 461 419 484 and
1 3 1 3 96 435 461 484 484 Fox
1 3 1 4 96 501 459 585 492 (2005)
1 3 1 5 96 602 464 662 484 note
1 3 1 6 96 677 461 743 490 that,
1 3 1 7 96 760 461 868 484 because
1 3 1 8 96 883 461 926 484 the
1 3 1 9 96 941 462 1077 484 transition
