block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 507 297 588 316 Proton
1 1 1 2 95 600 297 735 316 instabilities
1 1 1 3 96 747 298 769 316 in
1 1 1 4 96 781 297 856 322 weakly
1 1 1 5 95 868 297 987 316 collisional
1 1 1 6 95 996 297 1090 321 plasmas
1 1 1 7 96 1316 298 1328 317 3
2 1 1 1 96 267 354 317 372 may
2 1 1 2 96 330 347 357 366 be
2 1 1 3 95 370 347 484 371 expressed
2 1 1 4 96 497 347 525 372 by
2 1 1 5 96 539 349 650 371 transport
2 1 1 6 96 664 346 793 366 coefficients
2 1 1 7 96 807 347 876 366 which
2 1 1 8 96 890 354 925 366 are
2 1 1 9 96 938 347 1041 372 typically
2 1 1 10 96 1054 347 1140 366 derived
2 1 1 11 96 1154 348 1176 366 in
2 1 1 12 96 1189 347 1226 366 the
2 1 1 13 96 1240 348 1328 372 vicinity
2 1 2 1 96 267 379 290 399 of
2 1 2 2 96 298 380 391 399 thermal
2 1 2 3 93 402 380 538 404 equilibrium
2 1 2 4 92 551 379 680 406 (Braginskii
2 1 2 5 96 693 379 761 406 1965).
2 1 2 6 96 774 379 793 399 A
2 1 2 7 96 804 386 904 404 presence
2 1 2 8 97 915 379 938 399 of
2 1 2 9 96 946 380 1008 399 other
2 1 2 10 96 1019 380 1098 399 kinetic
2 1 2 11 96 1109 379 1182 399 effects
2 1 2 12 96 1193 387 1242 405 may
2 1 2 13 96 1253 380 1328 399 render
2 1 3 1 96 267 413 415 437 questionable
2 1 3 2 93 428 413 488 432 these
2 1 3 3 92 501 413 733 432 collision-dominated
2 1 3 4 96 746 413 872 432 theoretical
2 1 3 5 96 885 413 1016 437 predictions
2 1 3 6 97 1030 412 1061 438 (in
2 1 3 7 96 1073 413 1110 432 the
2 1 3 8 96 1123 413 1260 432 collisionless
2 1 3 9 96 1273 413 1327 432 limit
2 1 4 1 96 267 446 304 465 the
2 1 4 2 96 318 448 429 471 transport
2 1 4 3 96 443 445 572 465 coefficients
2 1 4 4 93 586 445 609 465 of
2 1 4 5 92 621 446 741 471 Braginskii
2 1 4 6 96 757 444 829 472 (1965)
2 1 4 7 96 844 445 946 471 diverge).
2 1 4 8 96 962 445 1024 466 Some
2 1 4 9 96 1038 446 1155 465 collisional
2 1 4 10 89 1169 448 1280 470 transport
2 1 4 11 89 1294 453 1327 465 co-
2 1 5 1 96 267 478 369 498 efficients
2 1 5 2 96 384 485 424 498 can
2 1 5 3 96 438 479 465 498 be
2 1 5 4 96 480 479 600 498 calculated
2 1 5 5 96 614 486 666 498 even
2 1 5 6 96 681 478 712 498 far
2 1 5 7 96 727 478 782 498 from
2 1 5 8 96 796 479 888 498 thermal
2 1 5 9 95 902 479 1045 503 equilibrium,
2 1 5 10 95 1061 478 1092 498 for
2 1 5 11 95 1107 479 1204 503 example
2 1 5 12 96 1219 480 1329 504 assuming
2 1 6 1 92 267 512 356 538 drifting
2 1 6 2 92 366 513 535 532 bi-Maxwellian
2 1 6 3 97 546 513 638 538 velocity
2 1 6 4 96 648 513 789 532 distribution
2 1 6 5 96 799 512 908 532 functions
2 1 6 6 96 919 512 951 532 for
2 1 6 7 96 962 513 989 532 all
2 1 6 8 96 1000 513 1089 537 particle
2 1 6 9 93 1100 514 1181 537 species
2 1 6 10 85 1194 512 1296 538 (Barakat
2 1 6 11 85 1309 512 1328 533 &
2 1 7 1 92 268 545 353 566 Schunk
2 1 7 2 93 364 546 422 570 1981;
2 1 7 3 91 433 546 540 571 Hellinger
2 1 7 4 92 549 545 568 566 &
2 1 7 5 10 578 546 696 565 Travniéek
2 1 7 6 94 706 545 776 572 2009).
2 1 7 7 96 787 546 826 565 For
2 1 7 8 96 835 547 932 565 instance
2 1 7 9 93 941 546 979 565 the
2 1 7 10 92 988 548 1156 570 proton-proton
2 1 7 11 90 1165 547 1328 570 isotropization
2 1 8 1 92 267 578 382 604 frequency
2 1 8 2 75 393 586 429 606 Vpp
3 1 1 1 96 295 756 344 774 may
3 1 1 2 96 355 749 382 768 be
3 1 1 3 96 392 750 454 774 given
3 1 1 4 95 465 756 488 768 as
4 1 1 1 93 294 929 364 948 where
4 1 1 2 51 382 929 421 952 2F;
4 1 1 3 96 435 930 452 948 is
4 1 1 4 96 464 929 502 948 the
4 1 1 5 96 514 929 618 948 standard
4 1 1 6 96 632 928 721 955 (Gauss)
4 1 1 7 96 735 929 919 954 hypergeometric
4 1 1 8 96 931 928 1035 948 function.
4 1 1 9 96 1049 929 1073 948 In
4 1 1 10 96 1085 929 1222 948 collisionless
4 1 1 11 96 1234 929 1328 953 plasmas
4 1 2 1 96 267 962 346 981 kinetic
4 1 2 2 96 360 962 496 981 instabilities
4 1 2 3 96 510 962 557 981 lead
4 1 2 4 96 571 964 594 981 to
4 1 2 5 96 607 962 703 981 effective
4 1 2 6 95 716 964 827 986 transport
4 1 2 7 96 841 961 976 981 coefficients.
4 1 2 8 96 992 962 1016 981 In
4 1 2 9 93 1028 962 1065 981 the
4 1 2 10 92 1079 962 1216 986 quasi-linear
4 1 2 11 92 1230 963 1327 986 approxi-
4 1 3 1 96 267 996 350 1014 mation
4 1 3 2 96 362 996 378 1014 it
4 1 3 3 96 390 996 407 1014 is
4 1 3 4 96 419 995 512 1019 possible
4 1 3 5 97 524 997 547 1014 to
4 1 3 6 96 558 995 629 1014 derive
4 1 3 7 96 641 1002 699 1014 some
4 1 3 8 96 711 994 734 1014 of
4 1 3 9 96 743 995 780 1014 the
4 1 3 10 96 792 997 903 1019 transport
4 1 3 11 96 915 994 1044 1014 coefficients
4 1 3 12 92 1058 994 1128 1021 (Yoon
4 1 3 13 92 1139 994 1158 1015 &
4 1 3 14 92 1171 994 1255 1020 Seough
