block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 178 185 248 204 where
1 1 1 2 96 258 185 295 204 the
1 1 1 3 93 306 187 407 209 operator
1 1 1 4 92 418 185 438 204 D
1 1 1 5 96 449 186 466 204 is
1 1 1 6 96 477 185 561 204 defined
1 1 1 7 96 572 192 595 204 as
2 1 1 1 96 178 371 224 390 The
2 1 1 2 96 235 372 369 396 expressions
2 1 1 3 96 379 378 410 390 we
2 1 1 4 96 420 371 473 390 then
2 1 1 5 96 483 371 559 390 obtain
2 1 1 6 96 569 370 601 390 for
2 1 1 7 96 612 371 648 390 the
2 1 1 8 93 659 373 801 395 components
2 1 1 9 36 812 371 845 397 ti;.,
2 1 1 10 80 857 371 890 398 ti,
2 1 1 11 34 902 371 930 401 Ui,
2 1 1 12 96 942 370 965 390 of
2 1 1 13 95 973 371 1010 390 the
2 1 1 14 95 1021 370 1068 390 flow
2 1 1 15 96 1078 370 1128 390 field
2 1 1 16 12 1139 369 1164 390 a
2 1 1 17 96 1178 378 1213 390 are
2 1 1 18 96 1224 372 1285 396 given
2 1 1 19 96 1296 371 1318 390 in
2 1 1 20 93 1328 370 1445 396 Appendix
2 1 1 21 91 1455 370 1479 391 C.
2 1 2 1 91 696 402 722 419 B.
2 1 2 2 96 755 402 894 419 First-order
2 1 2 3 96 905 402 1006 419 solution
3 1 1 1 96 178 471 215 491 We
3 1 1 2 96 228 477 275 490 now
3 1 1 3 96 288 471 385 490 consider
3 1 1 4 96 397 471 434 490 the
3 1 1 5 96 447 471 566 490 derivation
3 1 1 6 96 579 470 610 490 for
3 1 1 7 96 623 471 660 490 the
3 1 1 8 96 672 471 791 490 first-order
3 1 1 9 96 804 471 898 490 solution
3 1 1 10 96 912 470 943 496 (in
3 1 1 11 96 955 470 1073 496 Reynolds)
3 1 1 12 0 1088 470 1137 490 wu.
3 1 1 13 96 1158 471 1215 490 That
3 1 1 14 96 1229 470 1276 490 flow
3 1 1 15 96 1288 471 1338 490 field
3 1 1 16 96 1350 472 1448 490 contains
3 1 1 17 96 1461 473 1527 490 terms
3 1 1 18 96 1540 471 1563 490 of
3 1 2 1 96 151 502 248 522 different
3 1 2 2 96 260 502 397 527 frequencies,
3 1 2 3 96 408 503 448 522 but
3 1 2 4 96 459 510 489 522 we
3 1 2 5 96 500 509 535 522 are
3 1 2 6 96 545 503 594 522 here
3 1 2 7 96 605 503 655 528 only
3 1 2 8 96 665 503 782 522 interested
3 1 2 9 96 792 504 814 522 in
3 1 2 10 96 824 503 861 522 the
3 1 2 11 96 871 503 948 528 steady
3 1 2 12 96 958 505 1006 527 part
