block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 262 190 1471 191 " "
2 1 1 1 95 262 232 1471 233 " "
3 1 1 1 95 262 276 1471 277 " "
4 1 1 1 95 262 318 1471 319 " "
5 1 1 1 95 262 361 1471 363 " "
6 1 1 1 95 262 405 1471 406 " "
7 1 1 1 95 262 474 1471 475 " "
8 1 1 1 95 262 569 1471 570 " "
9 1 1 1 95 262 613 1471 614 " "
10 1 1 1 95 262 656 1471 657 " "
11 1 1 1 95 262 699 1471 700 " "
12 1 1 1 95 262 742 1471 743 " "
13 1 1 1 95 262 837 1471 839 " "
14 1 1 1 95 262 907 1471 908 " "
15 1 1 1 95 262 1002 1471 1003 " "
16 1 1 1 95 262 1088 1471 1089 " "
17 1 1 1 95 262 1226 1471 1228 " "
18 1 1 1 95 262 1296 1471 1297 " "
19 1 1 1 95 262 1365 1471 1366 " "
20 1 1 1 95 262 1530 1471 1531 " "
21 1 1 1 95 262 1598 1471 1600 " "
22 1 1 1 96 400 1804 464 1824 Table
22 1 1 2 96 475 1806 493 1824 1.
22 1 1 3 96 505 1804 552 1824 This
22 1 1 4 96 562 1804 617 1824 table
22 1 1 5 96 626 1804 669 1824 lists
22 1 1 6 96 678 1804 705 1824 all
22 1 1 7 96 713 1804 748 1824 the
22 1 1 8 96 757 1804 834 1824 known
22 1 1 9 96 843 1804 907 1830 phase
22 1 1 10 96 916 1804 1020 1830 diagrams
22 1 1 11 93 1029 1804 1053 1824 of
22 1 1 12 73 1060 1806 1114 1830 CeB,
22 1 1 13 93 1124 1804 1165 1824 and
22 1 1 14 59 1175 1806 1314 1830 Ce,_,La,Bg,
22 1 1 15 96 1324 1805 1438 1830 indicating
22 1 1 16 96 1446 1805 1481 1824 the
22 1 1 17 96 1490 1809 1537 1830 type
22 1 2 1 96 400 1840 423 1860 of
22 1 2 2 96 429 1840 492 1866 phase
22 1 2 3 95 501 1840 600 1866 diagram,
22 1 2 4 96 609 1841 643 1860 the
22 1 2 5 96 652 1840 725 1866 crystal
22 1 2 6 96 733 1840 832 1860 direction
22 1 2 7 96 841 1840 902 1866 along
22 1 2 8 96 909 1840 977 1860 which
22 1 2 9 96 985 1841 1019 1860 the
22 1 2 10 96 1028 1841 1130 1866 magnetic
22 1 2 11 96 1138 1840 1187 1860 field
22 1 2 12 96 1194 1847 1237 1860 was
22 1 2 13 96 1245 1840 1328 1866 applied
22 1 2 14 96 1336 1840 1377 1860 and
22 1 2 15 96 1385 1841 1419 1860 the
22 1 2 16 96 1428 1840 1537 1866 technique
22 1 3 1 96 400 1876 424 1896 of
22 1 3 2 96 430 1881 592 1896 measurement.
