block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 589 147 716 161 BOUNDARY
1 1 1 2 96 725 147 797 161 LAYER
1 1 1 3 96 808 147 837 162 OF
1 1 1 4 95 846 147 983 161 TRANSPORT
1 1 1 5 96 993 147 1110 165 EQUATION
1 1 1 6 96 1480 148 1499 161 19
2 1 1 1 33 511 258 526 303 |
2 1 1 2 29 705 284 723 287 a
2 1 1 3 13 880 284 886 287 er
2 1 1 4 23 1432 260 1497 287 95
3 1 1 1 96 234 399 260 419 Us
3 1 1 2 69 276 405 301 424 ng
3 1 1 3 96 311 399 349 418 the
3 1 1 4 95 359 401 411 418 trace
3 1 1 5 96 428 399 532 423 theorem,
3 1 1 6 92 544 405 574 418 we
3 1 1 7 58 591 406 638 418 1ave
4 1 1 1 56 262 468 286 530 |
4 1 1 2 57 414 468 438 530 |
4 1 1 3 40 774 511 801 513 eae
4 1 1 4 71 878 482 884 524 |
4 1 1 5 24 1052 511 1089 513 ra
4 1 1 6 73 1172 482 1186 532 a)
4 1 1 7 54 1447 486 1497 513 3.19)
5 1 1 1 96 234 642 292 667 Also,
5 1 1 2 96 304 650 334 662 we
5 1 1 3 96 345 643 420 662 obtain
6 1 1 1 18 545 710 587 772 I
6 1 1 2 16 640 753 642 755 ;
6 1 1 3 33 711 753 713 755 ;
6 1 1 4 29 793 729 840 755 es
6 1 1 5 21 956 753 958 755 ;
6 1 1 6 20 1035 753 1037 755 ;
6 1 1 7 96 1432 728 1497 755 (3.20)
6 1 2 1 30 604 841 647 903 ||
6 1 2 2 96 1432 859 1497 886 (3.21)
7 1 1 1 96 234 937 354 963 Collecting
7 1 1 2 96 364 940 431 957 terms
7 1 1 3 96 442 938 463 957 in
7 1 1 4 96 476 937 550 964 (3.17),
7 1 1 5 93 563 936 637 964 (3.18),
7 1 1 6 1 651 941 654 960 (
7 1 1 7 1 675 937 725 964 .19),
7 1 1 8 96 739 936 804 964 (3.20)
7 1 1 9 96 817 938 860 957 and
7 1 1 10 96 872 936 946 964 (3.21),
7 1 1 11 96 958 945 988 957 we
7 1 1 12 96 999 938 1075 957 obtain
8 1 1 1 96 234 1105 296 1124 Then
8 1 1 2 95 306 1105 349 1124 this
8 1 1 3 96 360 1105 469 1130 naturally
8 1 1 4 90 479 1105 562 1129 implies
8 1 1 5 90 573 1107 578 1124 t
8 1 1 6 96 600 1108 622 1124 at
9 1 1 1 96 201 1304 253 1329 Step
9 1 1 2 96 264 1306 282 1324 2:
9 1 1 3 96 298 1305 382 1330 Energy
9 1 1 4 96 393 1305 505 1324 Estimate.
9 1 2 1 96 200 1338 225 1357 In
9 1 2 2 96 235 1338 272 1357 the
9 1 2 3 96 283 1338 342 1357 weak
9 1 2 4 95 352 1337 491 1357 formulation
9 1 2 5 96 503 1336 577 1364 (3.11),
9 1 2 6 91 589 1345 612 1357 we
9 1 2 7 96 630 1345 679 1363 may
9 1 2 8 96 689 1338 739 1357 take
9 1 2 9 96 749 1338 787 1357 the
9 1 2 10 96 797 1340 840 1357 test
9 1 2 11 88 851 1337 949 1357 function
9 1 2 12 16 960 1341 989 1360 ¢:
9 1 2 13 32 1024 1345 1027 1357 |
9 1 2 14 96 1038 1340 1061 1357 to
9 1 2 15 96 1072 1340 1107 1363 get
9 1 2 16 96 1118 1338 1155 1357 the
9 1 2 17 96 1166 1344 1244 1363 energy
9 1 2 18 96 1254 1338 1354 1357 estimate
10 1 1 1 64 579 1405 638 1467 -f
10 1 1 2 84 769 1448 850 1450 +,
10 1 1 3 4 991 1405 1034 1467 //
10 1 1 4 95 1432 1423 1497 1450 (3.24)
11 1 1 1 96 234 1502 296 1521 Then
11 1 1 2 96 306 1509 336 1521 we
11 1 1 3 96 347 1502 400 1521 have
12 1 1 1 61 491 1600 505 1601 =
12 1 1 2 67 906 1587 922 1632 |
12 1 1 3 67 925 1570 949 1632 |
12 1 1 4 96 1432 1587 1497 1614 (3.25)
13 1 1 1 96 234 1666 269 1687 On
13 1 1 2 96 280 1667 317 1686 the
13 1 1 3 96 328 1667 389 1686 other
13 1 1 4 96 400 1667 465 1691 hand,
13 1 1 5 96 476 1673 507 1686 we
13 1 1 6 51 518 1674 572 1686 can:
13 1 1 7 76 594 1674 645 1686 uare
13 1 1 8 96 655 1674 683 1686 on
13 1 1 9 96 694 1667 749 1686 both
13 1 1 10 96 759 1667 815 1686 sides
13 1 1 11 96 825 1666 849 1686 of
13 1 1 12 96 859 1665 924 1693 (3.36)
13 1 1 13 96 937 1669 960 1686 to
13 1 1 14 96 971 1667 1047 1686 obtain
14 1 1 1 89 579 1752 592 1800 (
14 1 1 2 91 1333 1752 1347 1800 )
14 1 1 3 94 1432 1753 1497 1781 (3.26)
15 1 1 1 95 234 1834 374 1859 Multiplying
15 1 1 2 96 380 1828 389 1864 a
15 1 1 3 96 403 1834 531 1859 sufficiently
15 1 1 4 96 539 1834 601 1853 small
15 1 1 5 96 610 1836 710 1853 constant
15 1 1 6 96 719 1841 747 1853 on
15 1 1 7 96 755 1834 810 1853 both
15 1 1 8 96 818 1834 874 1853 sides
15 1 1 9 96 882 1833 905 1853 of
15 1 1 10 96 914 1832 979 1860 (3.26)
15 1 1 11 96 990 1834 1033 1853 and
15 1 1 12 96 1041 1834 1121 1859 adding
15 1 1 13 96 1130 1835 1146 1853 it
15 1 1 14 97 1155 1836 1178 1853 to
15 1 1 15 96 1189 1832 1254 1860 (3.25)
15 1 1 16 96 1264 1836 1288 1853 to
15 1 1 17 96 1296 1834 1374 1853 absorb
15 1 1 18 0 1386 1832 1422 1860 Well
15 1 1 19 25 1434 1826 1496 1866 32s)
16 1 1 1 93 201 1876 244 1895 and
16 1 1 2 68 257 1874 283 1902 |ju
16 1 1 3 76 292 1887 308 1889 —
16 1 1 4 0 318 1868 358 1903 GllE
16 1 1 5 0 366 1889 452 1908 2x81):
16 1 1 6 96 463 1883 494 1895 we
16 1 1 7 96 505 1876 586 1895 deduce
17 1 1 1 3 902 1961 915 2009 (
17 1 1 2 0 1101 1945 1143 2007 /
17 1 1 3 92 1399 1961 1413 2009 )
