block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 376 327 391 350 8
1 1 1 2 92 432 326 615 349 Parameters
1 1 1 3 95 629 326 661 349 of
1 1 1 4 96 672 326 722 349 the
1 1 1 5 96 737 326 903 356 Algorithm
2 1 1 1 96 417 396 463 415 The
2 1 1 2 96 474 403 511 415 use
2 1 1 3 93 521 395 544 415 of
2 1 1 4 92 553 396 644 416 Jaccard
2 1 1 5 96 655 396 719 415 index
2 1 1 6 96 730 398 753 415 to
2 1 1 7 96 764 402 832 415 assess
2 1 1 8 96 843 396 956 421 similarity
2 1 1 9 96 966 396 1063 415 between
2 1 1 10 96 1074 396 1184 415 addresses
2 1 1 11 96 1195 397 1217 415 in
2 1 1 12 93 1228 403 1266 415 our
2 1 1 13 93 1278 396 1333 421 algo-
2 1 2 1 96 375 429 442 448 rithm
2 1 2 2 96 451 429 468 448 is
2 1 2 3 96 478 429 581 453 optional.
2 1 2 4 96 593 428 639 449 Our
2 1 2 5 96 649 429 739 454 implicit
2 1 2 6 96 750 429 885 454 assumption
2 1 2 7 96 895 430 912 448 is
2 1 2 8 96 922 429 971 448 that
2 1 2 9 96 981 429 1042 448 there
2 1 2 10 96 1051 430 1117 448 exists
2 1 2 11 96 1127 435 1140 448 a
2 1 2 12 93 1150 428 1247 448 function
2 1 2 13 86 1257 427 1303 455 d(z,
2 1 2 14 89 1310 428 1332 455 y)
2 1 3 1 96 375 462 444 481 which
2 1 3 2 96 456 469 547 481 assesses
2 1 3 3 96 560 462 596 481 the
2 1 3 4 96 609 462 722 487 similarity
2 1 3 5 96 734 462 830 481 between
2 1 3 6 96 842 464 884 481 two
2 1 3 7 96 897 462 1007 481 addresses
2 1 3 8 95 1020 469 1034 481 x
2 1 3 9 92 1047 462 1090 481 and
2 1 3 10 92 1103 469 1121 487 y.
2 1 3 11 95 1135 462 1239 487 Blocking
2 1 3 12 93 1251 468 1291 481 can
2 1 3 13 92 1303 469 1333 481 re-
2 1 4 1 96 375 496 429 515 duce
2 1 4 2 96 441 496 478 515 the
2 1 4 3 96 490 496 580 515 number
2 1 4 4 96 592 496 616 515 of
2 1 4 5 97 625 496 759 515 evaluations
2 1 4 6 92 771 495 794 515 of
2 1 4 7 21 804 494 879 522 d(z,y)
2 1 4 8 96 893 496 985 515 without
2 1 4 9 96 998 496 1086 521 missing
2 1 4 10 96 1098 496 1159 520 links,
2 1 4 11 93 1173 496 1190 515 if
2 1 4 12 31 1200 495 1275 521 d(a,y)
2 1 4 13 91 1290 500 1307 516 >
2 1 4 14 48 1321 503 1334 515 T
2 1 5 1 96 375 529 494 554 indicating
2 1 5 2 94 503 536 517 548 x
2 1 5 3 93 527 529 569 548 and
2 1 5 4 93 579 536 592 554 y
