block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 217 208 295 228 Where
1 1 1 2 93 306 201 325 227 A
1 1 1 3 93 336 208 352 227 is
1 1 1 4 96 363 208 400 227 the
1 1 1 5 96 411 208 497 227 median
1 1 1 6 96 508 207 531 227 of
1 1 1 7 95 539 208 576 227 the
1 1 1 8 95 588 208 690 227 available
1 1 1 9 96 701 208 787 233 images.
2 1 1 1 96 217 253 263 272 The
2 1 1 2 95 276 253 412 272 subtraction
2 1 1 3 96 424 252 447 272 of
2 1 1 4 96 458 253 495 272 the
2 1 1 5 96 508 254 566 272 main
2 1 1 6 96 579 253 676 278 dazzling
2 1 1 7 96 688 253 761 278 object
2 1 1 8 96 774 256 797 272 to
2 1 1 9 96 810 253 898 272 observe
2 1 1 10 96 911 253 948 272 the
2 1 1 11 96 961 252 1014 272 faint
2 1 1 12 96 1027 253 1156 277 companion
2 1 1 13 96 1169 260 1211 272 was
2 1 1 14 96 1225 253 1311 278 already
2 1 1 15 96 1324 253 1434 278 improved
2 1 1 16 96 1447 253 1475 278 by
2 1 1 17 96 1487 253 1524 272 the
2 1 2 1 96 176 286 243 307 LOCI
2 1 2 2 8 254 275 387 317 algorithn!!
2 1 2 3 96 392 287 489 312 dividing
2 1 2 4 96 499 288 579 312 images
2 1 2 5 97 590 287 612 306 in
2 1 2 6 96 622 287 756 306 subsections
2 1 2 7 96 768 287 810 306 and
2 1 2 8 96 821 287 940 312 obtaining,
2 1 2 9 96 952 286 983 306 for
2 1 2 10 96 994 287 1046 306 each
2 1 2 11 96 1056 287 1186 311 subsection,
2 1 2 12 96 1198 294 1211 306 a
2 1 2 13 96 1221 287 1287 306 linear
2 1 2 14 96 1298 287 1445 306 combination
2 1 2 15 97 1456 286 1479 306 of
2 1 2 16 96 1487 287 1524 306 the
2 1 3 1 96 176 319 281 339 reference
2 1 3 2 96 292 320 372 345 images
2 1 3 3 96 383 320 454 339 whose
2 1 3 4 96 465 320 600 339 subtraction
2 1 3 5 96 611 320 666 339 from
2 1 3 6 96 676 320 713 339 the
2 1 3 7 96 724 322 794 345 target
2 1 3 8 96 806 320 875 345 image
2 1 3 9 96 886 320 928 339 will
2 1 3 10 96 939 321 1046 339 minimize
2 1 3 11 96 1057 320 1094 339 the
2 1 3 12 96 1105 320 1169 339 noise.
2 1 3 13 96 1185 320 1231 339 The
2 1 3 14 96 1242 320 1378 340 subtraction
2 1 3 15 96 1388 327 1431 339 was
2 1 3 16 97 1442 319 1524 339 further
2 1 4 1 96 176 353 286 377 improved
2 1 4 2 97 295 353 323 378 by
2 1 4 3 93 332 353 369 372 the
2 1 4 4 19 379 346 592 372 Karhunen-Loevd!l
2 1 4 5 96 599 352 654 379 (KL)
2 1 4 6 96 666 353 734 378 image
2 1 4 7 67 744 346 881 378 projection
2 1 4 8 96 889 351 973 379 (KLIP)
2 1 4 9 96 984 353 1105 378 algorithm.
2 1 4 10 97 1121 353 1179 372 Both
2 1 4 11 96 1188 353 1314 378 algorithms
2 1 4 12 96 1324 353 1448 377 implement
2 1 4 13 96 1459 352 1524 372 forms
2 1 5 1 96 175 385 199 405 of
2 1 5 2 95 209 386 318 410 Principal
2 1 5 3 95 331 385 468 410 Component
2 1 5 4 96 482 385 582 411 Analysis
2 1 5 5 96 597 384 673 412 (PCA)
2 1 5 6 96 687 388 711 405 to
2 1 5 7 96 723 386 799 405 obtain
2 1 5 8 96 812 386 849 405 the
2 1 5 9 95 862 387 942 405 matrix
2 1 5 10 96 954 385 977 405 of
2 1 5 11 96 988 386 1024 405 the
2 1 5 12 95 1037 386 1147 405 residuals.
2 1 5 13 96 1169 386 1206 406 We
2 1 5 14 93 1219 393 1269 411 may
2 1 5 15 92 1281 385 1382 405 factorize
2 1 5 16 96 1395 386 1432 405 the
2 1 5 17 96 1445 387 1525 405 matrix
2 1 6 1 76 176 419 198 438 A
2 1 6 2 53 209 418 312 443 "€R™*"","
2 1 6 3 93 324 419 388 444 being
2 1 6 4 93 398 426 421 438 m
2 1 6 5 96 431 419 469 438 the
2 1 6 6 96 479 419 569 438 number
2 1 6 7 96 580 418 603 438 of
2 1 6 8 97 611 418 680 438 useful
2 1 6 9 97 690 419 757 443 pixels
2 1 6 10 97 768 426 796 438 on
2 1 6 11 96 806 419 858 438 each
2 1 6 12 96 869 420 938 444 image
2 1 6 13 90 949 419 991 438 and
2 1 6 14 90 1002 426 1017 438 n
2 1 6 15 96 1028 419 1065 438 the
2 1 6 16 96 1075 419 1165 438 number
2 1 6 17 96 1176 418 1199 438 of
2 1 6 18 96 1208 420 1294 444 images,
2 1 6 19 96 1306 419 1334 444 by
2 1 6 20 96 1344 420 1406 444 using
2 1 6 21 96 1417 426 1429 438 a
2 1 6 22 96 1440 419 1524 444 general
2 1 7 1 92 176 453 341 478 singular-value
2 1 7 2 96 352 453 524 477 decomposition
2 1 7 3 96 536 452 617 479 (SVD):
3 1 1 1 36 758 557 794 578 ya,
4 1 1 1 96 218 647 260 666 and
4 1 1 2 96 271 647 405 672 considering
4 1 1 3 96 413 648 458 672 just
4 1 1 4 96 469 647 506 666 the
4 1 1 5 93 516 646 562 666 first
4 1 1 6 57 574 647 587 666 k
4 1 1 7 96 597 647 692 672 singular
4 1 1 8 96 701 647 762 666 value
4 1 1 9 96 773 653 803 666 we
4 1 1 10 96 813 648 873 666 write
4 1 1 11 96 884 647 921 666 the
4 1 1 12 96 931 647 953 666 A
4 1 1 13 96 964 648 1138 672 approximation
4 1 1 14 96 1148 648 1210 672 using
4 1 1 15 96 1220 647 1257 666 the
