block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 161 226 397 272 Effective
1 1 1 2 95 425 240 586 286 sparse
1 1 1 3 96 610 226 985 286 representation
1 1 1 4 96 1012 226 1068 272 of
1 1 1 5 96 1089 227 1264 286 X-Ray
1 1 1 6 96 1289 226 1497 272 medical
1 1 2 1 95 736 304 920 364 images
2 1 1 1 92 702 394 772 414 Laura
2 1 1 2 91 784 393 957 414 Rebollo-Neira
2 1 2 1 96 674 430 829 451 Mathematics
2 1 2 2 96 842 431 985 458 Department
2 1 3 1 96 724 467 796 488 Aston
2 1 3 2 96 808 467 934 495 University
2 1 4 1 89 667 504 701 525 B4
2 1 4 2 89 714 505 765 525 7ET
2 1 4 3 95 776 504 936 532 Birmingham,
2 1 4 4 95 949 505 992 526 UK
3 1 1 1 91 186 649 299 666 Abstract—
3 1 1 2 55 321 649 413 666 Effective
3 1 1 3 95 436 654 503 671 sparse
3 1 1 4 95 526 649 679 671 representation
3 1 1 5 96 701 649 723 666 of
3 1 1 6 96 744 649 811 671 X-Ray
3 1 2 1 96 161 676 242 693 medical
3 1 2 2 96 260 676 332 698 images
3 1 2 3 96 350 676 416 693 within
3 1 2 4 96 434 676 466 693 the
3 1 2 5 96 484 678 560 693 context
3 1 2 6 96 578 676 599 693 of
3 1 2 7 95 615 676 660 693 data
3 1 2 8 95 678 676 779 693 reduction
3 1 2 9 96 796 676 812 693 is
3 1 3 1 96 161 704 279 721 considered.
3 1 3 2 96 295 704 335 721 The
3 1 3 3 96 351 704 447 726 proposed
3 1 3 4 96 462 704 580 721 framework
3 1 3 5 96 595 704 610 721 is
3 1 3 6 96 626 704 692 721 shown
3 1 3 7 96 707 705 727 721 to
3 1 3 8 96 742 704 812 721 render
3 1 4 1 96 161 737 185 749 an
3 1 4 2 96 200 737 304 749 enormous
3 1 4 3 96 319 732 419 749 reduction
3 1 4 4 96 433 732 453 749 in
3 1 4 5 96 468 732 499 749 the
3 1 4 6 96 514 732 629 754 cardinality
3 1 4 7 96 643 732 665 749 of
3 1 4 8 96 677 732 709 749 the
3 1 4 9 96 724 732 769 749 data
3 1 4 10 96 784 734 812 749 set
3 1 5 1 96 161 759 251 781 required
3 1 5 2 96 268 761 287 776 to
3 1 5 3 96 304 760 403 781 represent
3 1 5 4 96 419 759 457 776 this
3 1 5 5 96 474 759 522 776 class
3 1 5 6 96 539 759 560 776 of
3 1 5 7 96 575 759 647 781 images
3 1 5 8 96 664 760 683 776 at
3 1 5 9 95 700 764 745 781 very
3 1 5 10 96 762 759 812 781 good
3 1 6 1 95 161 787 238 809 quality.
3 1 6 2 96 250 787 290 804 The
3 1 6 3 96 302 787 436 809 particularity
3 1 6 4 96 448 787 470 804 of
3 1 6 5 96 480 787 511 804 the
3 1 6 6 96 523 787 622 809 approach
3 1 6 7 95 634 787 650 804 is
3 1 6 8 96 662 787 703 804 that
3 1 6 9 96 714 787 729 804 it
3 1 6 10 96 740 792 777 804 can
3 1 6 11 96 788 787 812 804 be
3 1 7 1 96 160 815 297 837 implemented
3 1 7 2 96 311 817 331 832 at
3 1 7 3 96 345 820 390 837 very
3 1 7 4 96 404 815 526 837 competitive
3 1 7 5 96 539 815 650 837 processing
3 1 7 6 96 664 815 709 832 time
3 1 7 7 96 723 815 762 832 and
3 1 7 8 96 776 815 812 832 low
3 1 8 1 96 160 847 248 864 memory
3 1 8 2 96 259 842 405 864 requirements.
4 1 1 1 90 379 973 394 991 I.
4 1 1 2 96 412 973 593 991 INTRODUCTION
5 1 1 1 96 188 1013 262 1032 Within
5 1 1 2 96 281 1013 314 1032 the
5 1 1 3 96 333 1013 380 1032 field
5 1 1 4 96 399 1013 423 1032 of
5 1 1 5 96 439 1013 525 1032 medical
5 1 1 6 96 544 1013 633 1038 imaging
5 1 1 7 96 652 1013 684 1032 for
5 1 1 8 96 702 1013 811 1038 diagnosis,
5 1 2 1 96 160 1046 264 1071 radiology
5 1 2 2 96 281 1049 384 1071 generates
5 1 2 3 96 400 1046 453 1071 huge
5 1 2 4 96 469 1046 560 1065 volumes
5 1 2 5 96 576 1046 600 1065 of
5 1 2 6 96 614 1046 659 1065 data
5 1 2 7 96 675 1046 695 1065 in
5 1 2 8 96 711 1046 743 1065 the
5 1 2 9 96 760 1046 812 1065 form
5 1 3 1 96 161 1080 184 1099 of
5 1 3 2 96 200 1081 272 1105 X-Ray
5 1 3 3 96 291 1080 374 1105 images.
5 1 3 4 96 393 1080 516 1105 Complying
5 1 3 5 96 535 1080 583 1099 with
5 1 3 6 95 602 1080 680 1099 archive
5 1 3 7 96 698 1080 811 1105 provisions
5 1 4 1 96 161 1113 280 1138 legislation,
5 1 4 2 96 294 1113 360 1132 which
5 1 4 3 96 372 1119 418 1138 may
5 1 4 4 96 430 1113 508 1138 require
5 1 4 5 96 520 1116 540 1132 to
5 1 4 6 96 553 1116 605 1132 store
5 1 4 7 93 618 1113 650 1132 the
5 1 4 8 91 662 1113 754 1138 patient’s
5 1 4 9 96 767 1113 812 1132 data
5 1 5 1 96 161 1146 192 1165 for
5 1 5 2 96 206 1152 232 1171 up
5 1 5 3 96 246 1149 266 1165 to
5 1 5 4 96 281 1150 313 1165 ten
5 1 5 5 96 328 1152 391 1171 years,
5 1 5 6 96 405 1149 516 1171 represents
5 1 5 7 96 531 1152 542 1165 a
5 1 5 8 96 556 1146 677 1171 demanding
5 1 5 9 95 691 1146 767 1165 burden
5 1 5 10 95 781 1146 812 1165 for
5 1 6 1 96 161 1179 257 1204 hospitals
5 1 6 2 96 268 1179 307 1198 and
5 1 6 3 96 318 1179 427 1198 individual
5 1 6 4 96 438 1179 542 1204 radiology
5 1 6 5 96 553 1179 656 1204 practices.
5 1 6 6 96 668 1179 811 1204 Additionally,
5 1 7 1 96 161 1213 193 1232 the
5 1 7 2 96 207 1216 286 1238 prompt
5 1 7 3 95 299 1213 425 1232 distribution
5 1 7 4 96 438 1213 462 1232 of
5 1 7 5 96 473 1216 549 1232 remote
5 1 7 6 96 562 1213 667 1238 radiology
5 1 7 7 96 681 1213 781 1238 reporting
5 1 7 8 96 795 1213 811 1232 is
5 1 8 1 96 161 1252 199 1265 one
5 1 8 2 96 209 1246 233 1265 of
5 1 8 3 96 241 1246 273 1265 the
5 1 8 4 96 283 1246 398 1271 challenges
5 1 8 5 96 408 1246 428 1265 in
5 1 8 6 96 438 1246 586 1271 teleradiology.
5 1 8 7 96 597 1246 662 1265 These
5 1 8 8 96 672 1249 752 1265 matters
5 1 8 9 96 762 1246 812 1265 have
5 1 9 1 93 161 1279 193 1298 led
5 1 9 2 93 210 1279 285 1298 several
5 1 9 3 96 301 1279 432 1304 radiological
5 1 9 4 95 449 1279 542 1298 societies
5 1 9 5 96 559 1282 578 1298 to
5 1 9 6 96 594 1279 724 1298 recommend
5 1 9 7 96 740 1282 760 1298 to
5 1 9 8 96 776 1285 812 1298 use
5 1 10 1 95 161 1312 284 1331 irreversible
5 1 10 2 93 296 1313 327 1336 (or
5 1 10 3 90 341 1312 421 1337 ‘lossy’)
5 1 10 4 96 433 1312 572 1337 compression
5 1 10 5 95 584 1312 616 1331 “in
5 1 10 6 96 627 1318 639 1331 a
5 1 10 7 96 650 1318 732 1331 manner
5 1 10 8 96 743 1312 784 1331 that
5 1 10 9 97 795 1312 811 1331 is
5 1 11 1 96 161 1345 246 1370 visually
5 1 11 2 96 261 1345 412 1370 imperceptible
5 1 11 3 96 427 1345 496 1364 and/or
5 1 11 4 96 511 1345 594 1364 without
5 1 11 5 96 608 1345 649 1364 loss
5 1 11 6 96 663 1345 687 1364 of
5 1 11 7 96 699 1345 811 1370 diagnostic
5 1 12 1 95 160 1379 311 1404 performance”
5 1 12 2 95 324 1379 359 1402 [1].
5 2 1 1 96 188 1411 215 1430 At
5 2 1 2 97 226 1411 276 1430 least
5 2 1 3 97 287 1411 318 1430 for
5 2 1 4 96 328 1411 430 1430 extensive
5 2 1 5 96 442 1417 483 1433 use,
5 2 1 6 96 495 1411 527 1430 the
5 2 1 7 96 539 1414 587 1430 state
5 2 1 8 96 599 1411 623 1430 of
5 2 1 9 96 632 1411 664 1430 the
5 2 1 10 97 675 1415 703 1430 art
5 2 1 11 96 714 1411 746 1430 for
5 2 1 12 96 757 1411 811 1436 lossy
5 2 2 1 96 161 1444 227 1469 image
5 2 2 2 96 235 1444 373 1469 compression
5 2 2 3 96 381 1450 413 1463 are
5 2 2 4 96 421 1444 453 1463 the
5 2 2 5 96 461 1444 523 1463 JPEG
5 2 2 6 91 531 1444 569 1463 and
5 2 2 7 91 577 1444 694 1463 JPEG2000
5 2 2 8 96 702 1444 811 1463 standards.
5 2 3 1 96 161 1478 213 1497 Both
5 2 3 2 96 224 1478 341 1503 techniques
5 2 3 3 96 352 1478 426 1503 belong
5 2 3 4 96 438 1482 458 1497 to
5 2 3 5 96 469 1478 501 1497 the
5 2 3 6 96 513 1481 605 1503 category
5 2 3 7 96 617 1478 641 1497 of
5 2 3 8 96 651 1478 812 1497 transformation
5 2 4 1 96 161 1511 241 1536 coding,
5 2 4 2 96 253 1511 339 1530 because
5 2 4 3 96 351 1517 383 1530 are
5 2 4 4 96 395 1511 457 1530 based
5 2 4 5 96 468 1517 494 1530 on
5 2 4 6 95 506 1517 517 1530 a
5 2 4 7 96 528 1511 667 1536 compression
5 2 4 8 96 679 1511 760 1530 scheme
5 2 4 9 96 772 1511 812 1530 that
5 2 5 1 96 161 1544 237 1569 applies
5 2 5 2 96 248 1550 272 1563 an
5 2 5 3 96 283 1544 386 1563 invertible
5 2 5 4 96 397 1544 558 1563 transformation
5 2 5 5 96 569 1550 590 1563 as
5 2 5 6 96 601 1544 633 1563 the
5 2 5 7 96 644 1544 686 1563 first
5 2 5 8 96 696 1547 739 1569 step
5 2 5 9 96 749 1544 769 1563 in
5 2 5 10 97 780 1544 812 1563 the
5 2 6 1 96 160 1583 248 1602 process.
5 2 6 2 96 258 1577 321 1596 JPEG
5 2 6 3 96 330 1583 376 1596 uses
5 2 6 4 96 387 1577 419 1596 the
5 2 6 5 96 429 1577 520 1596 Discrete
5 2 6 6 96 530 1577 605 1596 Cosine
5 2 6 7 96 615 1577 730 1596 Transform
5 2 6 8 95 740 1577 811 1601 (DCT)
5 2 7 1 96 161 1610 192 1629 for
5 2 7 2 96 210 1610 250 1629 that
5 2 7 3 96 268 1616 354 1635 purpose
5 2 7 4 93 373 1610 411 1629 and
5 2 7 5 91 429 1610 546 1630 JPEG2000
5 2 7 6 96 565 1610 597 1629 the
5 2 7 7 96 615 1610 706 1629 Discrete
5 2 7 8 96 725 1610 812 1629 Wavelet
5 2 8 1 96 160 1644 275 1663 Transform
5 2 8 2 96 293 1645 377 1668 (DWT).
5 2 8 3 96 397 1644 449 1663 Both
5 2 8 4 96 467 1644 638 1663 transformations
5 2 8 5 96 656 1644 702 1669 play
5 2 8 6 96 720 1644 752 1663 the
5 2 8 7 96 770 1644 812 1663 role
5 2 9 1 96 161 1677 184 1696 of
5 2 9 2 96 195 1677 291 1702 reducing
5 2 9 3 96 304 1677 336 1696 the
5 2 9 4 96 349 1677 508 1702 non-negligible
5 2 9 5 96 521 1677 588 1702 points
5 2 9 6 96 601 1677 621 1696 in
5 2 9 7 96 634 1677 666 1696 the
5 2 9 8 96 680 1677 812 1696 transformed
5 2 10 1 96 161 1710 248 1729 domain.
5 2 10 2 96 262 1710 304 1729 The
5 2 10 3 96 317 1710 478 1729 transformation
5 2 10 4 96 491 1716 522 1729 we
5 2 10 5 96 535 1710 595 1735 adopt
5 2 10 6 96 608 1710 654 1729 here
5 2 10 7 96 668 1710 699 1729 for
5 2 10 8 96 711 1710 743 1729 the
5 2 10 9 96 757 1716 812 1729 same
5 2 11 1 96 160 1749 247 1768 purpose
5 2 11 2 96 259 1743 275 1762 is
5 2 11 3 96 288 1743 382 1762 different
5 2 11 4 96 393 1743 413 1762 in
5 2 11 5 96 425 1749 514 1762 essence.
5 2 11 6 96 528 1743 601 1762 Rather
5 2 11 7 96 612 1743 658 1762 than
5 2 11 8 96 671 1743 812 1768 transforming
5 2 12 1 96 161 1776 193 1795 the
5 2 12 2 96 211 1776 256 1795 data
5 2 12 3 96 273 1776 315 1795 into
5 2 12 4 96 333 1782 357 1795 an
5 2 12 5 96 375 1782 430 1801 array
5 2 12 6 96 448 1776 472 1795 of
5 2 12 7 96 488 1776 520 1795 the
5 2 12 8 96 538 1782 593 1795 same
5 2 12 9 96 611 1776 774 1801 dimensionality
5 2 12 10 96 792 1780 812 1795 to
5 2 13 1 96 161 1810 262 1835 disregard
5 2 13 2 96 272 1816 328 1829 some
