block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 297 259 386 287 Finally,
1 1 1 2 96 399 259 436 280 the
1 1 1 3 95 448 259 526 280 model
1 1 1 4 95 538 260 638 287 requires
1 1 1 5 96 650 266 714 280 some
1 1 1 6 96 726 259 786 280 form
1 1 1 7 96 798 259 822 280 of
1 1 2 1 96 256 294 407 315 initialization
1 1 2 2 96 415 297 437 315 to
1 1 2 3 96 445 294 543 322 produce
1 1 2 4 96 546 290 558 326 a
1 1 2 5 96 571 294 643 315 viable
1 1 2 6 96 652 294 716 315 order
1 1 2 7 93 723 294 782 315 book
1 1 2 8 92 790 294 826 315 be-
1 1 3 1 96 256 329 302 350 fore
1 1 3 2 96 311 329 382 350 actual
1 1 3 3 96 392 329 479 357 trading
1 1 3 4 96 488 336 529 350 can
1 1 3 5 96 537 329 609 357 begin.
1 1 3 6 96 621 329 672 350 This
1 1 3 7 96 682 330 700 350 is
1 1 3 8 96 709 329 768 350 done
1 1 3 9 94 777 330 821 349 ina
1 1 4 1 96 256 365 322 385 series
1 1 4 2 96 332 364 355 385 of
1 1 4 3 96 365 365 390 385 10
1 1 4 4 96 399 364 468 384 initial
1 1 4 5 96 477 365 555 385 Monte
1 1 4 6 96 565 364 630 385 Carlo
1 1 4 7 96 640 367 706 392 steps,
1 1 4 8 96 716 365 739 384 in
1 1 4 9 96 748 364 822 385 which
1 1 5 1 96 256 399 362 427 liquidity
1 1 5 2 96 372 399 491 427 providers
1 1 5 3 96 501 399 565 427 place
1 1 5 4 95 575 399 633 419 limit
1 1 5 5 96 643 399 722 420 orders
1 1 5 6 96 732 399 821 420 around
1 1 6 1 96 256 440 285 453 an
1 1 6 2 96 295 433 366 453 initial
1 1 6 3 96 376 434 444 461 price,
1 1 6 4 70 456 440 479 461 pa
1 1 6 5 96 501 429 513 465 =
1 1 6 6 70 525 440 548 461 pp
1 1 6 7 96 562 442 581 449 =
1 1 6 8 94 593 440 626 461 po,
1 1 6 9 96 636 433 693 453 with
1 1 6 10 93 702 440 733 454 no
1 1 6 11 90 743 433 826 461 liquid-
1 1 7 1 96 256 469 287 496 ity
1 1 7 2 96 297 468 358 489 taker
1 1 7 3 96 368 469 459 496 activity
1 1 7 4 96 467 471 564 496 present.
1 1 7 5 97 576 468 628 489 This
1 1 7 6 96 638 468 789 496 corresponds
1 1 7 7 96 799 471 822 489 to
1 1 8 1 96 256 503 292 524 the
1 1 8 2 96 301 503 425 531 placement
1 1 8 3 96 434 503 457 524 of
1 1 8 4 93 466 503 640 531 approximately
1 1 8 5 54 653 501 728 530 |10aN/,
1 1 8 6 59 742 502 752 530 |
1 1 8 7 96 766 503 822 523 limit
1 1 9 1 96 256 538 338 559 orders.
2 1 1 1 92 256 577 285 602 C.
2 1 1 2 96 321 577 460 610 Liquidity
2 1 1 3 95 478 577 559 602 Taker
2 1 1 4 93 577 578 668 610 Agent
2 1 1 5 92 686 577 827 610 Specifica-
2 1 2 1 96 256 619 312 643 tion
3 1 1 1 96 297 679 356 700 Each
3 1 1 2 96 365 679 496 700 simulation
3 1 1 3 93 505 680 607 700 contains
3 1 1 4 66 617 680 653 705 N,
3 1 1 5 93 665 679 770 707 liquidity
3 1 1 6 92 780 679 826 699 tak-
3 1 2 1 96 256 721 297 738 ers,
3 1 2 2 96 307 714 362 735 who
3 1 2 3 96 372 714 458 735 submit
3 1 2 4 96 467 714 555 735 market
3 1 2 5 96 565 714 643 735 orders
3 1 2 6 96 654 717 676 735 to
3 1 2 7 96 687 714 724 735 the
