block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 389 572 435 591 The
1 1 1 2 96 445 572 545 591 notation
1 1 1 3 59 555 567 588 591 2+
1 1 1 4 96 601 579 674 591 means
1 1 1 5 93 685 572 722 591 the
1 1 1 6 88 732 573 869 597 inner/outer
1 1 1 7 96 879 572 934 591 limit
1 1 1 8 96 945 574 967 591 at
1 1 1 9 96 978 572 1015 591 the
1 1 1 10 96 1025 572 1139 597 boundary
1 1 1 11 96 1149 571 1172 591 of
1 1 1 12 73 1180 571 1224 592 0D.
1 1 1 13 96 1240 572 1300 591 More
2 1 1 1 96 347 605 454 630 precisely,
2 1 1 2 96 466 604 498 624 for
2 1 1 3 96 509 612 521 624 a
2 1 1 4 93 531 604 629 624 function
2 1 1 5 93 640 612 658 624 w
2 1 1 6 97 670 604 754 624 defined
2 1 1 7 93 765 612 793 624 on
2 1 1 8 0 803 601 841 629 R?,
2 1 1 9 96 853 611 893 624 one
2 1 1 10 96 904 605 942 624 has
3 1 1 1 93 389 754 458 773 where
3 1 1 2 88 469 760 485 773 v
3 1 1 3 96 496 755 513 773 is
3 1 1 4 96 524 754 560 773 the
3 1 1 5 96 571 754 668 773 outward
3 1 1 6 96 679 754 762 773 normal
3 1 1 7 96 773 754 820 773 unit
3 1 1 8 96 831 756 904 773 vector
3 1 1 9 96 914 753 937 773 of
3 1 1 10 71 946 753 990 774 OD.
3 1 2 1 96 348 785 369 813 2)
3 1 2 2 96 382 787 428 806 The
3 1 2 3 96 438 787 553 812 boundary
3 1 2 4 96 563 787 685 806 conditions
3 1 2 5 96 696 793 744 806 over
3 1 2 6 96 755 787 792 806 the
3 1 2 7 96 803 787 850 806 skin
3 1 2 8 96 862 794 896 806 are
3 1 2 9 96 908 794 921 806 a
3 1 2 10 96 931 787 963 806 bit
3 1 2 11 96 974 794 1032 806 more
3 1 2 12 96 1044 787 1187 811 complicated
3 1 2 13 93 1199 785 1242 813 (see
3 1 2 14 93 1253 787 1300 812 Fig-
3 1 3 1 82 347 811 423 855 ure[2).
3 1 3 2 96 439 821 491 840 This
3 1 3 3 95 501 821 518 840 is
3 1 3 4 96 528 821 569 840 due
3 1 3 5 96 579 823 602 840 to
3 1 3 6 96 612 821 649 840 the
3 1 3 7 96 659 820 702 840 fact
3 1 3 8 96 712 821 768 845 that,
3 1 3 9 96 779 821 895 845 compared
3 1 3 10 96 904 823 928 840 to
3 1 3 11 96 937 821 974 840 the
3 1 3 12 96 984 823 1050 840 water
3 1 3 13 96 1059 821 1128 840 which
3 1 3 14 96 1138 821 1176 840 has
3 1 3 15 93 1187 828 1199 840 a
3 1 3 16 91 1208 821 1300 840 conduc-
4 1 1 1 96 552 1394 629 1419 Figure
4 1 1 2 96 640 1394 658 1413 2:
4 1 1 3 96 674 1394 791 1419 Boundary
4 1 1 4 95 802 1394 923 1413 conditions
4 1 1 5 96 934 1400 982 1413 over
4 1 1 6 96 993 1394 1030 1413 the
4 1 1 7 96 1041 1394 1094 1413 skin.
5 1 1 1 97 347 1460 411 1484 tivity
5 1 1 2 97 420 1458 444 1478 of
5 1 1 3 96 450 1459 488 1478 the
5 1 1 4 96 497 1459 559 1478 order
5 1 1 5 93 568 1458 591 1478 of
5 1 1 6 21 598 1455 726 1479 0.01S-m~!
5 1 1 7 91 739 1456 785 1485 [35],
5 1 1 8 96 796 1459 833 1478 the
5 1 1 9 96 843 1459 890 1478 skin
5 1 1 10 96 899 1460 916 1478 is
5 1 1 11 95 925 1465 976 1484 very
5 1 1 12 92 985 1459 1080 1478 resistive
5 1 1 13 44 1092 1455 1236 1485 (10-4S-m71
5 1 1 14 45 1250 1457 1299 1485 [20])
5 1 2 1 96 348 1492 390 1511 and
5 1 2 2 96 401 1492 438 1511 the
5 1 2 3 96 449 1492 508 1517 body
5 1 2 4 96 519 1492 535 1511 is
5 1 2 5 96 546 1499 597 1517 very
5 1 2 6 96 607 1492 735 1511 conductive
5 1 2 7 61 748 1490 796 1518 (1S:
5 1 2 8 64 805 1488 866 1518 m7!)
5 1 2 9 81 880 1490 926 1518 [42].
5 1 2 10 96 941 1492 965 1511 In
5 1 2 11 97 976 1492 1038 1511 other
5 1 2 12 96 1048 1492 1123 1516 words,
5 1 2 13 96 1135 1498 1175 1511 one
5 1 2 14 97 1186 1492 1224 1511 has
6 1 1 1 93 389 1642 534 1666 Futhermore,
6 1 1 2 96 544 1642 581 1661 the
6 1 1 3 96 589 1642 636 1661 skin
6 1 1 4 96 645 1642 661 1661 is
6 1 1 5 96 669 1648 720 1667 very
6 1 1 6 96 728 1642 782 1661 thin:
6 1 1 7 96 796 1641 813 1661 if
6 1 1 8 96 818 1649 848 1661 we
6 1 1 9 96 857 1642 935 1661 denote
6 1 1 10 96 944 1643 971 1661 its
6 1 1 11 96 979 1642 1087 1661 thickness
6 1 1 12 96 1095 1642 1123 1667 by
6 1 1 13 59 1132 1641 1150 1666 5,
6 1 1 14 96 1159 1649 1189 1661 we
6 1 1 15 96 1198 1642 1251 1661 have
6 1 1 16 95 1261 1639 1299 1668 [49]
6 1 2 1 73 725 1702 736 1722 6
6 1 2 2 33 753 1709 762 1720 ©
6 1 2 3 88 776 1703 854 1728 100um
6 1 2 4 88 864 1706 888 1724 <
6 1 2 5 92 899 1703 923 1727 L,
7 1 1 1 93 347 1764 416 1783 where
7 1 1 2 91 429 1764 446 1783 L
7 1 1 3 96 458 1771 501 1783 was
7 1 1 4 96 513 1763 598 1783 defined
7 1 1 5 97 611 1771 633 1783 as
