block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 39 258 173 280 199 ame
1 1 1 2 46 447 188 462 191 a
1 1 1 3 29 534 173 553 199 ce
1 1 1 4 0 593 173 611 199 Tr
1 1 1 5 69 1007 188 1022 191 =
1 1 1 6 55 1166 188 1181 191 =
1 1 2 1 95 178 196 248 215 where
1 1 2 2 94 258 196 281 215 II
1 1 2 3 93 291 205 310 211 =
1 1 2 4 80 322 195 369 221 —pl
1 1 2 5 94 378 199 417 221 +7
1 1 2 6 31 428 175 465 241 (*
1 1 2 7 75 472 194 513 217 ot+
1 1 2 8 19 527 183 556 233 [v
1 1 2 9 48 559 179 585 237 a|
1 1 2 10 93 610 175 624 241 )
1 1 2 11 97 639 197 656 215 is
1 1 2 12 97 667 196 704 215 the
1 1 2 13 97 714 195 766 215 fluid
1 1 2 14 96 777 198 842 215 stress
1 1 2 15 96 852 198 925 215 tensor
1 1 2 16 96 935 196 978 215 and
1 1 2 17 95 989 195 1020 216 dS
1 1 2 18 92 1030 205 1048 211 =
1 1 2 19 4 1059 196 1137 220 adg¢dz,
1 1 2 20 95 1149 196 1184 216 dV
1 1 2 21 92 1194 205 1212 211 =
1 1 2 22 42 1223 196 1321 219 rdrdddz
1 1 2 23 96 1332 202 1367 215 are
1 1 2 24 96 1377 196 1414 215 the
1 1 2 25 96 1425 195 1507 215 surface
1 1 2 26 96 1518 196 1560 215 and
2 1 1 1 96 150 244 235 263 volume
2 1 1 2 96 246 244 348 263 elements
2 1 1 3 96 359 244 381 263 in
2 1 1 4 96 392 244 515 269 cylindrical
2 1 1 5 96 526 244 662 263 coordinates
2 1 1 6 96 673 244 817 269 respectively.
3 1 1 1 76 152 307 174 324 B.
3 1 1 2 76 205 307 466 324 Non-dimensionalization
4 1 1 1 96 178 376 215 396 We
4 1 1 2 96 228 382 314 400 express
4 1 1 3 96 327 376 364 395 the
4 1 1 4 92 377 376 543 400 displacements
4 1 1 5 48 558 375 612 402 (r,z)
