block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 375 260 386 278 8
1 1 1 2 91 467 260 516 277 F-K.
1 1 1 3 91 528 260 659 277 Thielemann
2 1 1 1 91 375 330 464 354 Eichler,
2 1 1 2 91 476 330 510 354 D.,
2 1 1 3 90 522 330 588 354 Livio,
2 1 1 4 90 600 330 638 354 M.,
2 1 1 5 91 650 330 721 354 Piran,
2 1 1 6 91 733 330 766 354 T.,
2 1 1 7 92 778 329 797 350 &
2 1 1 8 93 809 329 927 354 Schramm,
2 1 1 9 92 939 330 964 349 D.
2 1 1 10 92 977 330 1002 349 N.
2 1 1 11 96 1016 330 1075 354 1989,
2 1 1 12 96 1087 330 1175 354 Nature,
2 1 1 13 96 1188 330 1234 354 340,
2 1 1 14 96 1248 330 1285 350 126
2 2 1 1 92 375 363 464 387 Eichler,
2 2 1 2 91 476 363 514 387 M.,
2 2 1 3 93 526 363 655 387 Nakamura,
2 2 1 4 92 667 363 701 387 K.,
2 2 1 5 92 714 363 828 387 Takiwaki,
2 2 1 6 92 840 363 872 387 T.,
2 2 1 7 96 884 365 905 382 et
2 2 1 8 95 917 363 943 382 al.
2 2 1 9 95 956 363 1016 387 2018,
2 2 1 10 96 1028 363 1118 383 Journal
2 2 1 11 96 1128 362 1151 382 of
2 2 1 12 92 1160 363 1248 388 Physics
2 2 1 13 92 1260 362 1279 383 G
2 2 1 14 91 1290 363 1333 382 Nu-
2 2 2 1 96 403 396 458 415 clear
2 2 2 2 96 469 396 564 421 Physics,
2 2 2 3 96 576 396 608 420 45,
2 2 2 4 96 620 396 700 416 014001
2 3 1 1 93 375 429 428 453 Ertl,
2 3 1 2 91 441 429 474 453 T.,
2 3 1 3 93 488 429 563 453 Janka,
2 3 1 4 92 576 429 646 453 H.-T.,
2 3 1 5 92 659 429 762 454 Woosley,
2 3 1 6 92 776 428 796 449 S.
2 3 1 7 92 809 429 841 453 E.,
2 3 1 8 92 855 428 972 453 Sukhbold,
2 3 1 9 91 985 429 1018 453 T.,
2 3 1 10 91 1032 428 1051 449 &
2 3 1 11 88 1063 429 1161 454 Ugliano,
2 3 1 12 88 1175 429 1205 448 M.
2 3 1 13 96 1219 429 1278 453 2016,
2 3 1 14 95 1292 428 1333 453 Ap.
2 3 2 1 91 403 463 429 487 J.,
2 3 2 2 96 442 464 488 487 818,
2 3 2 3 96 502 463 540 482 124
2 4 1 1 69 375 496 472 520 Farouqi,
2 4 1 2 91 484 496 518 520 K.,
2 4 1 3 93 530 496 604 520 Kratz,
2 4 1 4 91 616 496 684 520 K.-L.,
2 4 1 5 93 697 495 788 520 Pfeiffer,
2 4 1 6 91 800 496 832 520 B.,
2 4 1 7 96 844 498 865 515 et
2 4 1 8 96 877 496 903 515 al.
2 4 1 9 96 915 497 975 520 2010,
2 4 1 10 93 987 495 1028 520 Ap.
2 4 1 11 92 1041 496 1067 520 J.,
2 4 1 12 96 1080 497 1126 520 712,
2 4 1 13 96 1139 497 1191 516 1359
2 5 1 1 92 375 529 477 554 Foglizzo,
2 5 1 2 92 489 529 521 553 T.,
2 5 1 3 92 533 529 646 553 Kazeroni,
2 5 1 4 92 658 529 690 553 R.,
2 5 1 5 92 703 528 783 553 Guilet,
2 5 1 6 92 795 529 821 552 J.,
2 5 1 7 96 833 532 854 548 et
2 5 1 8 93 865 529 891 548 al.
2 5 1 9 94 904 530 963 553 2015,
2 5 1 10 96 975 529 1037 548 Publ.
2 5 1 11 95 1049 528 1136 548 Astron.
2 5 1 12 93 1149 528 1195 549 Soc.
2 5 1 13 92 1207 528 1288 553 Austr.,
2 5 1 14 96 1301 529 1333 553 32,
2 5 2 1 95 403 562 454 582 e009
2 6 1 1 93 375 595 459 619 Fowler,
2 6 1 2 88 471 595 504 615 W.
2 6 1 3 92 517 594 550 619 A.,
2 6 1 4 91 563 594 582 615 &
2 6 1 5 93 593 595 666 620 Hoyle,
2 6 1 6 91 678 595 701 614 F.
2 6 1 7 96 715 595 774 619 1964,
2 6 1 8 95 786 594 826 620 Ap.
2 6 1 9 93 839 595 857 615 J.
2 6 1 10 92 870 594 951 620 Suppl.,
2 6 1 11 96 964 596 982 619 9,
2 6 1 12 96 995 595 1033 615 201
2 7 1 1 93 375 628 459 652 Fowler,
2 7 1 2 88 470 628 503 648 W.
2 7 1 3 88 514 627 547 652 A.,
2 7 1 4 92 558 627 678 653 Caughlan,
2 7 1 5 91 689 627 714 648 G.
2 7 1 6 91 725 628 758 652 R.,
2 7 1 7 92 779 627 788 648 &
2 7 1 8 93 799 628 949 652 Zimmerman,
2 7 1 9 92 960 628 984 647 B.
2 7 1 10 96 995 627 1020 647 A.
2 7 1 11 96 1032 628 1091 652 1967,
2 7 1 12 96 1101 627 1172 647 Annu.
2 7 1 13 92 1183 628 1234 648 Rev.
2 7 1 14 95 1246 627 1333 647 Astron.
2 7 2 1 91 403 661 538 687 Astrophys.,
2 7 2 2 95 550 663 569 686 5,
2 7 2 3 95 581 663 620 682 525
2 8 1 1 92 375 695 459 719 Fowler,
2 8 1 2 92 470 695 503 715 W.
