block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 202 261 223 276 19
2 1 1 1 96 201 442 223 457 20
3 1 1 1 96 201 562 221 577 21
4 1 1 1 96 201 683 222 698 22
5 1 1 1 96 201 803 223 819 23
6 1 1 1 96 201 923 223 938 24
7 1 1 1 92 201 1104 222 1119 25
8 1 1 1 95 201 1224 223 1239 26
9 1 1 1 96 201 1345 223 1360 27
10 1 1 1 95 201 1465 223 1480 28
11 1 1 1 96 243 206 289 227 and
11 1 1 2 96 301 205 329 227 A.
11 1 1 3 96 343 206 453 233 Georges,
11 1 1 4 96 466 206 522 227 New
11 1 1 5 96 534 206 555 228 J.
11 1 1 6 96 568 206 638 233 Phys.
11 1 1 7 96 653 207 691 233 10,
11 1 1 8 96 705 207 793 228 053019
11 1 1 9 96 808 204 895 234 (2008).
11 2 1 1 89 243 266 264 288 S.
11 2 1 2 93 289 266 421 293 Hellmann,
11 2 1 3 92 449 266 481 287 M.
11 2 1 4 93 506 266 575 293 Beye,
11 2 1 5 93 603 266 629 288 C.
11 2 1 6 91 655 266 732 293 Sohrt,
11 2 1 7 92 759 266 786 287 T.
11 2 1 8 93 811 266 916 293 Rohwer,
11 2 1 9 91 943 266 968 287 F.
11 2 1 10 91 993 266 1130 293 Sorgenfrei,
11 2 1 11 91 1158 266 1185 287 H.
11 2 1 12 90 1210 266 1302 292 Redlin,
11 2 1 13 87 1329 266 1361 287 M.
11 2 1 14 89 1386 266 1493 292 Kallane,
11 2 2 1 91 243 327 275 348 M.
11 2 2 2 88 288 327 554 354 Marczynski-Biihlow,
11 2 2 3 92 567 327 592 348 F.
11 2 2 4 92 605 327 714 353 Hennies,
11 2 2 5 93 728 327 760 348 M.
11 2 2 6 96 773 327 857 353 Bauer,
11 2 2 7 93 870 326 898 348 A.
11 2 2 8 48 911 327 1027 353 Féhlisch,
11 2 2 9 92 1040 327 1064 348 L.
11 2 2 10 93 1077 327 1148 354 Kipp,
11 2 2 11 92 1160 327 1197 349 W.
11 2 2 12 96 1210 327 1301 354 Wurth,
11 2 2 13 91 1324 327 1371 348 and
11 2 2 14 91 1383 327 1411 348 K.
11 2 2 15 91 1424 327 1493 349 Ross-
11 2 3 1 91 242 387 317 414 nagel,
11 2 3 2 96 330 387 438 414 Physical
11 2 3 3 96 450 387 544 409 Review
11 2 3 4 96 556 387 647 408 Letters
11 2 3 5 96 661 388 716 414 105,
11 2 3 6 96 732 388 817 409 187401
11 2 3 7 96 833 385 920 415 (2010).
11 3 1 1 92 242 447 278 469 W.
11 3 1 2 93 292 447 361 473 Shen,
11 3 1 3 93 373 447 401 468 Y.
11 3 1 4 96 415 447 457 474 Ge,
11 3 1 5 91 470 446 497 468 A.
11 3 1 6 88 510 447 538 468 Y.
11 3 1 7 93 551 447 601 473 Liu,
11 3 1 8 91 614 447 641 468 H.
11 3 1 9 93 654 447 682 469 R.
11 3 1 10 91 695 447 899 474 Krishnamurthy,
11 3 1 11 89 912 447 939 468 T.
11 3 1 12 91 952 447 975 468 P.
11 3 1 13 96 988 447 1132 473 Devereaux,
11 3 1 14 96 1155 447 1201 468 and
11 3 1 15 93 1213 447 1233 469 J.
11 3 1 16 92 1246 447 1275 468 K.
11 3 1 17 92 1288 447 1410 474 Freericks,
11 3 1 18 96 1423 447 1492 474 Phys.
11 3 2 1 96 243 507 299 529 Rev.
11 3 2 2 96 313 507 374 528 Lett.
11 3 2 3 96 389 508 445 533 112,
11 3 2 4 96 460 507 547 529 176404
11 3 2 5 96 561 505 648 535 (2014).
11 4 1 1 56 257 567 275 588 {.
11 4 1 2 93 291 567 372 594 Bovet,
11 4 1 3 92 388 567 409 589 S.
11 4 1 4 93 424 574 469 588 van
11 4 1 5 92 483 567 599 594 Smaalen,
11 4 1 6 92 614 567 642 588 H.
11 4 1 7 93 657 567 750 594 Berger,
11 4 1 8 92 765 567 793 589 R.
11 4 1 9 93 809 567 876 593 Gaal,
11 4 1 10 91 891 567 915 588 L.
11 4 1 11 76 930 567 1007 594 Forré,
11 4 1 12 90 1022 567 1046 588 L.
11 4 1 13 91 1062 567 1215 594 Schlapbach,
11 4 1 14 93 1243 567 1289 588 and
11 4 1 15 89 1303 567 1326 588 P.
11 4 1 16 91 1341 566 1408 594 Aebi,
11 4 1 17 95 1423 567 1492 594 Phys.
11 4 2 1 93 248 628 299 650 Rev.
