block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 251 158 407 181 BAYESIAN
1 1 1 2 95 419 159 531 181 MODEL
1 1 1 3 96 543 158 745 181 ASSESSMENT
1 1 1 4 96 1422 160 1449 181 19
2 1 1 1 96 251 271 367 292 scenarios
2 1 1 2 96 378 270 475 291 become
2 1 1 3 95 485 270 588 291 relevant
2 1 1 4 96 599 271 623 291 in
2 1 1 5 96 634 270 740 291 datasets
2 1 1 6 96 750 270 808 291 with
2 1 1 7 96 819 270 926 297 multiple
2 1 1 8 96 936 270 1063 297 clustering
2 1 1 9 96 1073 270 1195 296 variables,
2 1 1 10 96 1207 277 1232 291 so
2 1 1 11 96 1243 270 1296 291 that
2 1 1 12 96 1307 270 1348 291 the
2 1 1 13 96 1359 270 1449 291 models
2 1 2 1 96 251 315 305 335 may
2 1 2 2 96 316 308 374 329 have
2 1 2 3 96 386 315 450 329 more
2 1 2 4 96 462 308 521 329 than
2 1 2 5 96 533 311 578 329 two
2 1 2 6 96 591 308 686 329 “levels”
2 1 2 7 93 700 306 789 336 and/or
2 1 2 8 92 803 307 1040 336 (partially-)crossed
2 1 2 9 96 1051 308 1151 329 random
2 1 2 10 96 1162 308 1249 329 effects.
3 1 1 1 75 758 388 771 409 6
3 1 1 2 75 804 387 942 409 References
4 1 1 1 91 251 502 338 527 Celeux,
4 1 1 2 92 354 502 387 527 G.,
4 1 1 3 93 403 503 487 522 Forbes,
4 1 1 4 92 503 503 533 527 F.,
4 1 1 5 93 549 503 638 527 Robert,
4 1 1 6 92 654 502 678 523 C.
4 1 1 7 92 693 503 722 527 P.,
4 1 1 8 91 737 503 891 528 Titterington,
4 1 1 9 92 906 503 932 522 D.
4 1 1 10 91 947 503 985 527 M.,
4 1 1 11 96 999 505 1020 522 et
4 1 1 12 96 1035 503 1061 522 al.
4 1 1 13 96 1086 501 1165 529 (2006).
4 1 1 14 96 1189 503 1297 522 Deviance
4 1 1 15 96 1310 502 1449 522 information
4 1 2 1 96 327 537 411 555 criteria
4 1 2 2 96 422 535 454 555 for
4 1 2 3 96 464 537 552 561 missing
4 1 2 4 96 563 536 616 555 data
4 1 2 5 95 626 536 714 555 models.
4 1 2 6 96 731 536 839 561 Bayesian
4 1 2 7 92 850 535 955 561 Analysis,
4 1 2 8 92 970 534 1026 562 1(4),
4 1 2 9 95 1038 536 1139 556 651-673.
4 2 1 1 92 251 569 342 594 daSilva,
4 2 1 2 92 357 570 386 589 M.
4 2 1 3 92 400 569 434 594 A.,
4 2 1 4 82 448 570 527 594 Bazan,
4 2 1 5 92 542 570 560 590 J.
4 2 1 6 92 574 570 604 594 L.,
4 2 1 7 93 618 569 637 590 &
4 2 1 8 91 650 570 849 595 Huggins-Manley,
4 2 1 9 92 863 569 888 589 A.
4 2 1 10 92 903 569 927 590 C.
4 2 1 11 96 949 569 1028 596 (2018).
4 2 1 12 96 1049 569 1174 595 Sensitivity
4 2 1 13 96 1186 570 1280 595 analysis
4 2 1 14 96 1292 570 1335 589 and
4 2 1 15 96 1348 570 1449 595 choosing
4 2 2 1 95 326 603 423 622 between
4 2 2 2 93 434 603 562 622 alternative
4 2 2 3 91 573 603 712 628 polytomous
4 2 2 4 91 723 604 750 622 irt
4 2 2 5 96 762 603 844 622 models
4 2 2 6 96 856 604 918 628 using
4 2 2 7 96 929 603 1035 628 Bayesian
4 2 2 8 96 1046 603 1118 622 model
4 2 2 9 96 1129 604 1265 627 comparison
4 2 2 10 88 1276 604 1367 622 criteria.
4 2 2 11 90 1388 602 1449 623 Com-
4 2 3 1 96 328 637 472 655 munications
4 2 3 2 96 484 637 506 655 in
4 2 3 3 93 517 635 625 656 Statistics
4 2 3 4 93 637 648 644 650 -
4 2 3 5 95 657 635 785 656 Simulation
4 2 3 6 95 797 636 840 655 and
4 2 3 7 96 852 635 1012 660 Computation,
4 2 3 8 96 1025 637 1048 655 in
4 2 3 9 96 1058 643 1123 660 press.
4 3 1 1 96 251 670 283 689 De
4 3 1 2 92 293 670 371 694 Boeck,
4 3 1 3 92 383 670 404 689 P.
4 3 1 4 96 421 669 501 695 (2008).
4 3 1 5 96 516 670 617 690 Random
4 3 1 6 93 627 671 680 689 item
4 3 1 7 92 690 670 736 690 IRT
4 3 1 8 95 748 670 836 689 models.
4 3 1 9 95 853 670 1034 695 Psychometrika,
4 3 1 10 86 1049 671 1083 694 73,
4 3 1 11 95 1095 671 1196 690 533-559.
4 4 1 1 96 251 704 299 728 Fox,
4 4 1 2 95 311 704 363 724 J.-P.
4 4 1 3 95 380 702 460 730 (2010).
4 4 1 4 96 477 704 585 729 Bayesian
4 4 1 5 96 596 705 648 723 item
4 4 1 6 96 659 711 758 728 response
4 4 1 7 96 770 704 882 729 modeling:
4 4 1 8 96 900 704 980 729 Theory
4 4 1 9 96 992 704 1034 723 and
4 4 1 10 96 1046 704 1190 728 applications.
4 4 1 11 96 1206 704 1252 723 NY:
4 4 1 12 96 1265 703 1370 729 Springer.
4 5 1 1 93 251 737 308 756 Furr,
4 5 1 2 90 320 737 345 756 D.
4 5 1 3 90 357 736 381 757 C.
4 5 1 4 96 397 735 476 763 (2017).
4 5 1 5 96 491 737 599 762 Bayesian
4 5 1 6 93 610 737 653 756 and
4 5 1 7 92 660 736 785 762 frequentist
4 5 1 8 96 796 737 982 756 cross-validation
4 5 1 9 96 992 737 1087 756 methods
4 5 1 10 97 1095 736 1132 762 for
4 5 1 11 96 1142 737 1279 762 explanatory
4 5 1 12 96 1289 738 1341 756 item
4 5 1 13 96 1351 744 1450 761 response
4 5 2 1 96 328 771 407 790 models
4 5 2 2 96 419 770 578 797 (Unpublished
4 5 2 3 96 589 771 687 790 doctoral
4 5 2 4 96 697 770 853 797 dissertation).
4 5 2 5 96 868 771 991 796 University
4 5 2 6 96 1001 770 1024 790 of
4 5 2 7 96 1034 770 1157 795 California,
4 5 2 8 95 1169 771 1275 796 Berkeley,
4 5 2 9 95 1288 770 1333 791 CA.
4 6 1 1 96 251 803 350 828 Gelfand,
4 6 1 2 93 365 803 390 823 A.
4 6 1 3 92 404 804 435 828 E.,
4 6 1 4 91 450 803 514 828 Sahu,
4 6 1 5 88 529 803 548 824 S.
4 6 1 6 88 562 804 596 828 K.,
4 6 1 7 93 610 803 629 824 &
4 6 1 8 93 643 803 723 828 Carlin,
4 6 1 9 91 737 804 761 823 B.
4 6 1 10 90 776 804 797 823 P.
4 6 1 11 95 819 803 899 829 (1995).
4 6 1 12 93 920 803 1017 823 Efficient
4 6 1 13 91 1030 805 1230 829 parametrisations
4 6 1 14 96 1243 803 1275 823 for
4 6 1 15 96 1287 804 1371 823 normal
4 6 1 16 96 1383 804 1449 823 linear
4 7 1 1 96 327 838 398 857 mixed
4 7 1 2 96 409 838 497 857 models.
4 7 1 3 96 514 838 652 862 Biometrika,
4 7 1 4 96 666 838 701 862 82,
4 7 1 5 91 714 838 814 858 379-488.
4 8 1 1 93 251 870 349 895 Gelman,
4 8 1 2 91 364 870 398 895 A.,
4 8 1 3 93 413 871 500 896 Hwang,
4 8 1 4 89 516 871 542 895 J.,
4 8 1 5 91 557 870 576 891 &
4 8 1 6 92 589 871 683 895 Vehtari,
4 8 1 7 95 698 870 723 890 A.
4 8 1 8 95 747 869 826 897 (2014).
4 8 1 9 96 848 871 1025 896 Understanding
4 8 1 10 96 1037 871 1154 895 predictive
4 8 1 11 96 1168 870 1307 890 information
4 8 1 12 96 1320 872 1405 890 criteria
4 8 1 13 96 1418 871 1449 890 for
4 9 1 1 96 327 905 432 930 Bayesian
4 9 1 2 96 442 905 531 924 models.
4 9 1 3 96 548 904 655 925 Statistics
4 9 1 4 96 668 905 710 924 and
4 9 1 5 96 723 904 857 930 Computing,
4 9 1 6 95 871 905 906 929 24,
4 9 1 7 87 919 905 1034 925 997-1016.
4 10 1 1 93 251 937 350 962 Gelman,
4 10 1 2 92 364 937 398 962 A.,
4 10 1 3 92 412 938 506 962 Jakulin,
4 10 1 4 91 520 937 554 962 A.,
4 10 1 5 90 568 938 650 960 Pittau,
4 10 1 6 86 665 938 695 957 M.
4 10 1 7 86 710 937 743 962 G.,
4 10 1 8 92 758 937 777 958 &
4 10 1 9 96 791 937 826 962 Su,
4 10 1 10 95 840 937 898 958 Y.-S.
4 10 1 11 95 921 936 1001 964 (2008).
