block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 255 825 259 1971 " "
2 1 1 1 60 276 120 287 138 N
3 1 1 1 95 266 117 274 1643 " "
4 1 1 1 95 262 1858 287 1876 22
5 1 1 1 87 262 1946 287 1965 23
6 1 1 1 95 291 117 294 1971 " "
7 1 1 1 92 311 119 335 138 B.
7 1 1 2 24 350 119 440 144 Bardny.
7 1 1 3 96 463 119 589 138 Dimension
7 1 1 4 96 602 118 626 138 of
7 1 1 5 96 637 119 674 138 the
7 1 1 6 93 687 119 820 144 generalized
7 1 1 7 92 833 120 930 138 4-corner
7 1 1 8 96 944 121 975 138 set
7 1 1 9 95 990 119 1032 138 and
7 1 1 10 95 1046 120 1073 138 its
7 1 1 11 96 1087 120 1225 144 projections.
7 1 1 12 96 1250 119 1338 144 Ergodic
7 1 1 13 96 1355 119 1435 144 Theory
7 1 2 1 92 312 152 403 177 Dynam.
7 1 2 2 91 417 151 517 177 Systems,
7 1 2 3 87 529 150 729 178 32(4):1190-1215,
7 1 2 4 96 742 152 801 172 2012.
8 1 1 1 92 311 207 341 226 M.
8 1 1 2 96 353 207 460 232 Barnsley,
8 1 1 3 93 472 207 491 227 J.
8 1 1 4 92 503 207 526 226 E.
8 1 1 5 96 538 207 680 231 Hutchinson,
8 1 1 6 96 692 207 734 226 and
8 1 1 7 83 745 201 771 227 O.
8 1 1 8 92 783 206 870 227 Stenflo.
8 1 1 9 92 885 207 1009 227 V-variable
8 1 1 10 96 1020 206 1113 226 fractals:
8 1 1 11 96 1128 207 1248 226 dimension
8 1 1 12 96 1258 207 1342 226 results.
8 1 1 13 95 1357 207 1435 226 Forum
9 1 1 1 92 312 240 387 264 Math.,
9 1 1 2 34 399 239 571 266 24(3):445~-470,
9 1 1 3 96 584 240 643 260 2012.
10 1 1 1 92 311 296 336 315 T.
10 1 1 2 93 349 295 449 315 Bedford.
10 1 1 3 92 470 295 555 321 Crinkly
10 1 1 4 96 568 303 647 320 curves,
10 1 1 5 94 662 296 751 315 Markov
10 1 1 6 96 762 297 876 320 partitions
10 1 1 7 96 889 296 931 315 and
10 1 1 8 96 944 296 980 315 box
10 1 1 9 95 992 296 1124 315 dimensions
10 1 1 10 95 1137 297 1159 315 in
10 1 1 11 95 1171 295 1304 321 self-similar
10 1 1 12 96 1315 298 1362 315 sets.
10 1 1 13 96 1380 296 1433 315 PhD
10 1 2 1 96 311 329 384 353 thesis,
10 1 2 2 96 396 329 519 354 University
10 1 2 3 96 529 328 552 348 of
10 1 2 4 96 560 329 670 353 Warwick,
10 1 2 5 96 684 329 742 349 1984.
10 1 3 1 92 311 384 337 403 K.
10 1 3 2 94 350 384 456 403 Falconer.
10 1 3 3 94 473 384 556 403 Fractal
