block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 249 246 274 264 to
1 1 1 2 96 283 244 393 264 estimate
1 1 1 3 96 402 243 443 264 the
1 1 1 4 96 452 244 587 264 covariance
1 1 1 5 96 597 244 684 264 matrix
1 1 1 6 96 693 250 746 264 over
1 1 1 7 96 756 250 770 264 a
1 1 1 8 96 778 243 858 270 longer
1 1 1 9 96 867 243 950 270 period
1 1 1 10 96 959 243 984 264 of
1 1 1 11 96 991 244 1055 270 time,
1 1 1 12 96 1067 250 1108 270 say
1 1 1 13 96 1117 243 1160 264 five
1 1 1 14 96 1169 250 1235 270 years
1 1 1 15 96 1245 243 1280 264 for
1 1 1 16 96 1289 243 1403 270 example,
1 1 2 1 96 249 288 296 309 and
1 1 2 2 95 307 295 348 309 use
1 1 2 3 95 359 289 377 309 it
1 1 2 4 96 390 295 415 309 as
1 1 2 5 95 427 295 457 309 an
1 1 2 6 95 468 289 536 315 input
1 1 2 7 96 549 288 583 309 for
1 1 2 8 96 595 295 659 309 some
1 1 2 9 96 670 288 717 309 risk
1 1 2 10 96 728 289 865 309 estimation
1 1 2 11 96 877 288 982 309 method.
1 1 2 12 96 998 288 1025 309 In
1 1 2 13 96 1036 288 1083 309 this
1 1 2 14 96 1095 289 1169 315 spirit,
1 1 2 15 96 1182 295 1215 309 we
1 1 2 16 96 1226 291 1288 309 want
1 1 2 17 96 1300 290 1326 309 to
1 1 2 18 96 1337 288 1405 309 know
1 1 3 1 96 249 334 300 355 how
1 1 3 2 96 311 334 361 355 well
1 1 3 3 96 372 334 413 355 the
1 1 3 4 96 424 334 598 361 homogeneous
1 1 3 5 96 609 334 750 355 correlation
1 1 3 6 96 761 335 848 355 matrix
1 1 3 7 96 859 335 980 355 estimates
1 1 3 8 96 991 334 1032 355 the
1 1 3 9 96 1043 334 1097 361 risk,
1 1 3 10 96 1110 334 1192 361 taking
1 1 3 11 93 1203 334 1345 361 fluctuating
1 1 3 12 91 1356 341 1404 355 cor-
1 1 4 1 96 249 380 360 401 relations
1 1 4 2 96 371 381 421 401 into
1 1 4 3 96 432 383 539 401 account.
1 1 4 4 96 555 380 598 401 For
1 1 4 5 96 609 380 716 401 different
