block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 249 210 332 234 While
1 1 1 2 84 348 218 367 233 a
1 1 1 3 96 384 211 403 233 is
1 1 1 4 96 420 210 486 233 fixed
1 1 1 5 96 503 213 529 233 at
1 1 1 6 91 546 211 560 233 2
1 1 1 7 59 577 203 638 239 A~!,
1 1 1 8 78 658 209 675 239 6
1 1 1 9 96 692 211 712 233 is
1 1 1 10 96 728 210 805 233 taken
1 1 1 11 95 821 213 847 233 at
1 1 1 12 95 864 210 908 233 the
1 1 1 13 96 924 210 995 233 three
1 1 1 14 96 1011 210 1126 233 different
1 1 1 15 96 1143 210 1227 233 values
1 1 1 16 96 1244 211 1291 239 0.1,
1 1 1 17 96 1310 211 1357 239 0.3,
1 1 1 18 96 1376 210 1427 233 and
1 1 1 19 96 1445 211 1498 234 1.02
1 1 2 1 96 201 270 223 299 A
1 1 2 2 96 234 276 431 306 corresponding
1 1 2 3 96 442 279 470 299 to
1 1 2 4 96 482 277 621 306 increasing
1 1 2 5 96 633 276 763 306 couplings
1 1 2 6 96 776 276 888 299 between
1 1 2 7 93 900 276 944 299 the
1 1 2 8 93 956 276 979 300 R
1 1 2 9 93 991 276 1042 299 and
1 1 2 10 87 1054 276 1071 306 ¢
1 1 2 11 96 1083 276 1243 299 coordinates
1 1 2 12 96 1256 277 1281 299 in
1 1 2 13 96 1292 276 1336 299 the
1 1 2 14 96 1348 277 1499 299 interaction
1 1 3 1 93 201 344 293 373 region.
1 1 3 2 93 311 343 331 366 E
1 1 3 3 96 342 344 362 366 is
1 1 3 4 96 373 343 432 373 kept
1 1 3 5 96 444 346 470 366 at
1 1 3 6 96 483 344 521 367 0.5
1 1 3 7 92 533 343 578 372 eV,
1 1 3 8 0 589 344 613 373 j,
1 1 3 9 95 627 346 652 366 at
1 1 3 10 91 665 344 686 372 0,
1 1 3 11 27 699 351 717 373 pp
1 1 3 12 94 729 346 755 366 at
1 1 3 13 94 767 341 813 374 2/3
1 1 3 14 90 825 351 891 372 amu,
1 1 3 15 90 904 351 930 366 m
1 1 3 16 95 942 346 968 366 at
1 1 3 17 95 982 341 1026 374 1/2
1 1 3 18 89 1039 351 1097 366 amu
1 1 3 19 89 1108 343 1158 366 and
1 1 3 20 92 1163 337 1175 378 r
1 1 3 21 96 1195 346 1221 366 at
1 1 3 22 95 1235 344 1246 366 1
1 1 3 23 92 1258 336 1288 366 A.
1 1 3 24 79 1302 343 1335 371 R,
1 1 3 25 96 1349 343 1399 366 and
1 1 3 26 51 1411 343 1445 371 Ry
1 1 3 27 93 1458 351 1499 366 are
1 1 4 1 96 201 409 265 432 both
1 1 4 2 97 276 409 352 432 taken
1 1 4 3 96 364 412 390 432 at
1 1 4 4 95 402 410 416 432 4
1 1 4 5 95 428 402 458 438 A,
1 1 4 6 96 471 409 571 439 beyond
1 1 4 7 93 582 409 663 432 which
1 1 4 8 79 676 408 744 440 V(R,
1 1 4 9 84 753 407 781 440 ¢)
1 1 4 10 96 794 410 814 432 is
1 1 4 11 96 826 409 961 439 negligibly
1 1 4 12 96 972 409 1045 432 small
1 1 4 13 96 1056 409 1107 432 and
1 1 4 14 96 1118 409 1161 432 the
1 1 4 15 96 1173 409 1306 439 integrand
1 1 4 16 96 1317 410 1342 432 in
1 1 4 17 95 1354 409 1398 439 Eq.
1 1 4 18 96 1414 407 1465 440 (11)
1 1 4 19 96 1479 410 1499 432 is
1 1 5 1 74 201 483 216 498 a
1 1 5 2 74 226 478 344 498 constant
1 1 5 3 96 356 475 383 498 of
1 1 5 4 96 391 476 496 498 motion.
1 1 5 5 96 514 475 568 498 The
1 1 5 6 96 579 475 716 498 collisional
1 1 5 7 96 727 478 835 505 systems
1 1 5 8 96 846 475 968 505 resulting
1 1 5 9 96 978 475 1043 498 from
1 1 5 10 96 1053 475 1097 498 the
1 1 5 11 96 1108 476 1224 505 previous
1 1 5 12 96 1236 478 1391 505 parameters
1 1 5 13 96 1402 475 1499 498 involve
1 1 6 1 96 201 545 288 572 strong
1 1 6 2 96 297 542 480 571 interferences,
1 1 6 3 96 491 550 518 565 as
1 1 6 4 96 527 542 614 565 shown
1 1 6 5 96 622 542 655 572 by
1 1 6 6 96 664 542 707 565 the
1 1 6 7 96 716 545 789 565 exact
1 1 6 8 96 799 545 923 572 quantum
1 1 6 9 96 932 545 999 565 state
1 1 6 10 96 1009 542 1186 565 distributions
1 1 6 11 8 1196 542 1233 575 Pj,
1 1 6 12 8 1236 555 1254 575 ;,
1 1 6 13 20 1262 540 1306 573 (EZ)
1 1 6 14 93 1321 553 1343 561 =
1 1 6 15 18 1357 538 1497 575 |9j.j,(£)|?
1 1 7 1 96 201 608 330 638 displayed
1 1 7 2 96 341 609 367 631 in
1 1 7 3 96 379 608 430 638 Fig.
1 1 7 4 96 445 609 456 631 1
1 1 7 5 96 471 606 540 639 (blue
1 1 7 6 96 551 608 636 631 circles
1 1 7 7 96 648 608 786 631 connected
1 1 7 8 97 798 608 830 638 by
1 1 7 9 96 842 608 932 631 dotted
1 1 7 10 96 943 611 1077 638 segments;
1 1 7 11 93 1090 616 1130 631 see
1 1 7 12 13 1142 604 1223 632 Ref.°+
1 1 7 13 96 1236 608 1273 631 for
1 1 7 14 96 1284 616 1353 631 some
1 1 7 15 96 1365 608 1455 631 details
1 1 7 16 96 1466 616 1499 631 on
1 1 8 1 96 200 675 266 698 their
1 1 8 2 96 279 673 463 706 calculations).
1 1 8 3 96 482 675 553 699 Since
1 1 8 4 87 568 675 593 703 J;
1 1 8 5 57 607 686 629 694 =
1 1 8 6 57 641 676 663 704 0,
1 1 8 7 97 677 683 712 698 we
1 1 8 8 97 725 678 784 698 note
1 1 8 9 96 797 675 861 698 from
1 1 8 10 85 874 675 918 705 Eq.
1 1 8 11 96 935 673 970 706 (4)
1 1 8 12 96 985 675 1042 698 that
1 1 8 13 48 1056 667 1084 705 $1
1 1 8 14 92 1098 686 1120 694 =
1 1 8 15 29 1132 675 1170 705 ¢1.
1 2 1 1 96 250 741 295 764 For
1 2 1 2 92 310 741 328 770 6
1 2 1 3 95 343 752 365 760 =
1 2 1 4 95 381 742 402 770 0,
1 2 1 5 96 418 741 489 764 there
1 2 1 6 96 504 742 524 764 is
1 2 1 7 96 538 749 571 764 no
1 2 1 8 96 586 741 703 771 coupling
1 2 1 9 93 718 741 831 764 between
1 2 1 10 90 846 741 869 765 R
1 2 1 11 93 883 741 933 764 and
1 2 1 12 79 949 741 966 771 ¢
1 2 1 13 96 980 741 1030 764 and
1 2 1 14 95 1047 741 1064 765 J
1 2 1 15 96 1079 741 1153 771 keeps
1 2 1 16 96 1168 741 1312 771 constantly
1 2 1 17 96 1327 741 1400 771 equal
1 2 1 18 96 1415 744 1442 764 to
1 2 1 19 67 1457 741 1497 771 hj;
1 2 2 1 96 201 807 292 837 during
1 2 2 2 96 304 807 348 830 the
1 2 2 3 95 361 807 480 830 collision.
1 2 2 4 92 500 807 599 837 Calling
1 2 2 5 57 611 806 679 838 t(R1,
1 2 2 6 77 689 805 734 838 R2)
1 2 2 7 97 750 807 793 830 the
1 2 2 8 96 806 808 868 830 time
1 2 2 9 96 880 810 908 830 to
1 2 2 10 97 920 815 951 837 go
1 2 2 11 93 964 807 1028 830 from
1 2 2 12 69 1042 807 1075 835 R,
1 2 2 13 96 1090 810 1117 830 to
1 2 2 14 96 1130 807 1174 830 the
1 2 2 15 96 1187 808 1338 830 interaction
1 2 2 16 96 1350 808 1436 837 region
1 2 2 17 96 1449 807 1499 830 and
2 1 1 1 97 201 874 264 897 back
2 1 1 2 92 276 877 304 897 to
2 1 1 3 0 317 874 360 903 Rz,
2 1 1 4 96 374 882 409 897 we
2 1 1 5 96 422 874 484 897 have
3 1 1 1 96 250 1169 329 1199 Using
3 1 1 2 92 341 1169 385 1199 Eq.
3 1 1 3 96 402 1167 447 1200 (4),
3 1 1 4 96 461 1177 497 1192 we
