block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 95 454 114 652 133 DISCONTINUOUS
1 1 1 2 95 665 114 799 133 PIECEWISE
1 1 1 3 96 812 114 971 133 POLYNOMIAL
1 1 1 4 96 984 114 1084 133 NEURAL
1 1 1 5 96 1097 114 1236 134 NETWORKS
2 1 1 1 95 295 252 1405 253 " "
3 1 1 1 95 295 254 1405 255 " "
4 1 1 1 95 295 306 1405 308 " "
5 1 1 1 95 295 359 1405 361 " "
6 1 1 1 96 251 397 322 418 Table
6 1 1 2 95 335 398 354 418 2:
6 1 1 3 95 373 397 505 418 Maximum
6 1 1 4 95 514 397 638 418 overshoot
6 1 1 5 91 649 397 756 424 fraction,
6 1 1 6 13 766 405 854 426 pnmax,
6 1 1 7 96 865 398 933 424 given
6 1 1 8 96 942 397 983 418 the
6 1 1 9 96 992 397 1091 418 number
6 1 1 10 96 1100 397 1125 418 of
6 1 1 11 96 1132 398 1211 424 points
6 1 1 12 96 1221 398 1245 418 in
6 1 1 13 96 1254 397 1295 418 the
6 1 1 14 96 1304 397 1449 424 polynomial
6 1 2 1 96 373 435 542 462 interpolation
6 1 2 2 96 555 433 590 463 (to
6 1 2 3 96 602 436 615 456 4
6 1 2 4 96 627 435 698 462 digits
6 1 2 5 96 710 435 816 456 rounded
6 1 2 6 96 828 434 878 463 up).
7 1 1 1 89 251 595 293 615 2.3
7 1 1 2 89 313 594 418 621 Weight
7 1 1 3 96 432 594 625 615 Initialization
8 1 1 1 96 298 648 389 675 Weight
8 1 1 2 96 401 648 566 669 initialization
8 1 1 3 96 577 649 596 669 is
8 1 1 4 96 608 655 622 669 a
8 1 1 5 96 632 648 692 675 huge
8 1 1 6 96 704 655 803 669 concern
8 1 1 7 97 814 648 849 669 for
8 1 1 8 96 861 648 942 669 neural
8 1 1 9 96 953 648 1068 669 networks
8 1 1 10 96 1082 646 1151 676 (Yam
8 1 1 11 96 1162 648 1209 669 and
8 1 1 12 93 1221 648 1294 670 Chow
8 1 1 13 92 1307 647 1406 676 (2000)).
8 1 1 14 97 1423 648 1449 669 In
8 1 2 1 96 250 686 298 707 this
8 1 2 2 96 312 693 393 713 paper,
8 1 2 3 96 409 686 449 707 the
8 1 2 4 96 464 686 560 713 weights
8 1 2 5 96 574 686 657 707 within
8 1 2 6 96 672 693 685 707 a
8 1 2 7 46 699 686 737 707 li”:
8 1 2 8 93 762 693 800 707 are
8 1 2 9 40 814 686 902 707 initiali'
8 1 2 10 92 927 686 942 707 d
8 1 2 11 96 957 686 1014 707 such
8 1 2 12 95 1027 686 1081 707 that
8 1 2 13 53 1096 685 1157 714 F(x)
8 1 2 14 93 1175 685 1304 714 (Equation
8 1 2 15 93 1309 681 1323 718 )
8 1 2 16 95 1343 687 1361 707 is
8 1 2 17 95 1376 693 1390 707 a
8 1 2 18 96 1404 686 1449 707 line
8 1 3 1 96 251 730 328 744 across
8 1 3 2 96 340 723 381 744 the
8 1 3 3 96 393 723 448 749 link,
8 1 3 4 96 461 723 501 744 the
8 1 3 5 96 513 724 625 750 equation
8 1 3 6 96 637 724 655 744 is
8 1 3 7 82 667 724 722 750 give:
8 1 3 8 93 747 730 771 744 as
9 1 1 1 12 729 804 918 857 yy
10 1 1 1 96 260 880 337 901 where
10 1 1 2 55 349 888 381 905 wa
10 1 1 3 96 394 881 413 901 is
10 1 1 4 96 425 880 510 901 chosen
10 1 1 5 96 521 880 579 901 with
10 1 1 6 96 591 887 605 901 a
10 1 1 7 96 616 880 718 901 uniform
10 1 1 8 95 729 880 829 901 random
10 1 1 9 96 841 880 995 901 distribution
10 1 1 10 96 1006 881 1030 901 in
10 1 1 11 96 1041 880 1082 901 the
10 1 1 12 93 1093 887 1164 907 range
10 1 1 13 83 1179 878 1229 909 [—1,
10 1 1 14 77 1238 878 1265 909 1].
10 1 2 1 96 252 919 294 939 2.4
10 1 2 2 96 314 918 452 945 Choosing
10 1 2 3 93 465 918 572 945 Ranges
10 1 2 4 86 586 926 644 943 rmin
10 1 2 5 93 658 918 712 939 and
10 1 2 6 78 725 926 788 943 rmax
11 1 1 1 96 299 971 419 998 Choosing
11 1 1 2 96 430 978 515 998 proper
11 1 1 3 96 526 978 608 998 ranges
11 1 1 4 96 620 971 655 992 for
11 1 1 5 95 665 971 706 992 the
11 1 1 6 95 717 971 777 992 links
11 1 1 7 96 788 972 807 992 is
11 1 1 8 96 818 971 862 998 key
11 1 1 9 96 872 973 898 992 to
11 1 1 10 96 909 972 1000 998 getting
11 1 1 11 96 1011 971 1073 998 good
11 1 1 12 96 1084 971 1206 992 solutions.
11 1 1 13 96 1223 971 1273 992 The
11 1 1 14 95 1284 971 1380 998 weights
11 1 1 15 96 1392 971 1449 992 used
12 1 1 1 96 251 1010 275 1030 in
12 1 1 2 96 288 1009 328 1030 the
12 1 1 3 96 342 1009 462 1036 Lagrange
12 1 1 4 96 475 1009 620 1036 polynomial
12 1 1 5 96 633 1009 802 1036 interpolation
12 1 1 6 96 815 1009 846 1030 do
12 1 1 7 96 859 1012 900 1030 not
12 1 1 8 96 914 1017 981 1030 mark
12 1 1 9 96 994 1009 1035 1030 the
12 1 1 10 93 1048 1009 1121 1030 limits
12 1 1 11 62 1134 1016 1148 1030 o
12 1 2 1 96 251 1049 333 1073 except
12 1 2 2 96 345 1047 368 1067 in
12 1 2 3 96 379 1046 419 1067 the
12 1 2 4 96 430 1046 503 1067 linear
12 1 2 5 96 513 1053 572 1067 case.
12 1 2 6 96 589 1046 673 1073 Figure
12 1 2 7 96 684 1047 696 1068 8
12 1 2 8 96 708 1046 783 1067 shows
12 1 2 9 96 794 1047 806 1068 5
12 1 2 10 96 818 1046 938 1073 Lagrange
12 1 2 11 96 948 1046 1105 1073 polynomials
12 1 2 12 96 1116 1047 1145 1067 wi
12 1 3 1 96 251 1084 285 1105 for
12 1 3 2 96 294 1084 391 1111 weights
12 1 3 3 96 400 1084 483 1105 within
12 1 3 4 96 492 1084 533 1105 the
12 1 3 5 96 542 1084 633 1105 desired
12 1 3 6 92 643 1091 714 1111 range
12 1 3 7 92 722 1097 731 1099 -
12 1 3 8 95 741 1087 796 1105 note
12 1 3 9 96 806 1084 859 1105 that
12 1 3 10 96 869 1084 924 1111 only
12 1 3 11 96 933 1085 957 1105 in
12 1 4 1 96 263 1122 291 1143 he
12 1 4 2 96 301 1122 379 1143 values
12 1 4 3 96 389 1122 415 1143 of
12 1 4 4 96 422 1122 462 1143 the
12 1 4 5 96 472 1122 575 1149 weights.
12 1 4 6 96 591 1122 694 1148 Instead,
12 1 4 7 96 705 1122 724 1143 if
12 1 4 8 96 731 1122 772 1143 the
12 1 4 9 96 781 1122 878 1149 weights
12 1 4 10 96 888 1129 927 1143 are
12 1 4 11 96 937 1123 960 1143 in
12 1 4 12 97 982 1122 1010 1143 the
12 1 4 13 93 1020 1129 1091 1149 range
12 1 4 14 26 1104 1120 1202 1151 [—wmax,
12 1 4 15 26 1210 1120 1279 1151 Wmax]
12 1 4 16 96 1291 1122 1349 1143 then
12 1 4 17 96 1359 1129 1372 1143 a
12 1 4 18 96 1382 1123 1449 1149 given
12 1 5 1 96 251 1159 329 1180 choice
12 1 5 2 97 340 1159 365 1180 of
12 1 5 3 96 374 1159 470 1186 weights
12 1 5 4 96 481 1159 527 1180 will
12 1 5 5 96 538 1159 642 1186 produce
12 1 5 6 96 653 1166 667 1180 a
12 1 5 7 96 677 1160 808 1180 maximum
12 1 5 8 92 818 1159 942 1180 overshoot
12 1 5 9 55 953 1167 1097 1189 PpmaxWmax
12 1 5 10 96 1109 1159 1185 1180 Where
12 1 5 11 96 1196 1159 1274 1180 values
12 1 5 12 93 1286 1159 1311 1180 of
12 1 5 13 34 1318 1167 1398 1187 pymax
12 1 5 14 95 1411 1166 1449 1180 are
12 1 6 1 96 251 1198 318 1224 given
12 1 6 2 96 332 1198 356 1218 in
12 1 6 3 95 370 1197 441 1218 Table
12 1 6 4 95 456 1198 475 1218 2.
12 1 6 5 96 499 1197 541 1218 For
12 1 6 6 96 555 1204 569 1218 a
12 1 6 7 96 583 1198 650 1224 given
12 1 6 8 96 664 1198 740 1224 input,
12 1 6 9 95 756 1197 796 1218 the
12 1 6 10 95 810 1198 940 1218 maximum
12 1 6 11 95 954 1197 1056 1224 possible
12 1 6 12 96 1070 1200 1146 1224 output
12 1 6 13 96 1171 1197 1248 1218 would
12 1 6 14 96 1262 1197 1292 1218 be
12 1 6 15 77 1304 1205 1339 1225 pp.
12 1 7 1 96 250 1235 326 1256 which
12 1 7 2 96 337 1235 406 1256 could
12 1 7 3 96 416 1235 474 1256 then
12 1 7 4 96 485 1235 514 1256 be
12 1 7 5 95 525 1235 566 1256 the
12 1 7 6 96 577 1236 645 1262 input
12 1 7 7 96 656 1237 682 1256 to
12 1 7 8 96 693 1235 733 1256 the
12 1 7 9 96 744 1238 799 1256 next
12 1 7 10 95 811 1235 866 1256 link.
12 1 7 11 96 883 1235 933 1256 The
12 1 7 12 96 944 1236 1012 1256 input
12 1 7 13 96 1024 1242 1095 1262 range
12 1 7 14 96 1106 1235 1141 1256 for
12 1 7 15 96 1152 1235 1208 1256 each
12 1 7 16 96 1219 1235 1267 1256 link
12 1 7 17 96 1278 1235 1337 1256 shou
12 1 8 1 89 263 1279 276 1293 ©
12 1 8 2 0 289 1270 469 1302 [—Pn,maxWmaxs
12 1 8 3 23 475 1270 626 1302 PnmaxWmax]
12 1 8 4 93 639 1275 665 1293 to
12 1 8 5 96 676 1275 774 1293 account
12 1 8 6 96 786 1272 821 1293 for
12 1 8 7 92 831 1272 897 1293 these
12 1 8 8 92 907 1272 1051 1293 overshoots.
12 1 8 9 96 1068 1272 1119 1294 One
12 1 8 10 93 1130 1272 1246 1299 potential
12 1 8 11 93 1257 1279 1334 1293 consec
12 1 9 1 96 263 1310 298 1331 his
12 1 9 2 96 311 1310 389 1331 choice
12 1 9 3 96 402 1310 426 1331 of
12 1 9 4 96 437 1317 508 1337 range
12 1 9 5 93 520 1311 539 1331 is
12 1 9 6 92 552 1311 609 1337 inpu
13 1 1 1 96 259 1355 312 1375 ayer
13 1 1 2 96 326 1348 373 1369 and
13 1 1 3 96 386 1355 429 1369 one
13 1 1 4 96 442 1348 491 1369 link
14 1 1 1 95 253 1125 256 1450 " "
15 1 1 1 95 255 1430 330 1444 passes
15 1 1 2 93 346 1423 449 1450 through
15 1 1 3 93 465 1430 506 1444 eac
16 1 1 1 6 512 1350 609 1369 yetween
17 1 1 1 87 515 1431 522 1444 1
17 1 1 2 95 538 1423 599 1450 layer
18 1 1 1 62 250 1458 399 1488 Wmar/Tmar-
18 1 1 2 96 416 1459 483 1481 After
18 1 1 3 91 494 1461 589 1487 passing
18 1 1 4 80 600 1463 609 1481 t
18 1 2 1 93 251 1505 265 1519 a
18 1 2 2 93 275 1505 441 1525 consequence,
18 1 2 3 96 453 1498 493 1519 the
18 1 2 4 96 504 1500 590 1525 output
18 1 2 5 94 602 1498 662 1519 from
18 1 2 6 94 672 1498 729 1519 each
18 1 2 7 96 739 1498 801 1525 layer
18 1 2 8 96 811 1499 829 1519 is
18 1 2 9 96 840 1498 931 1525 pushed
18 1 2 10 96 941 1498 1043 1519 towards
18 1 2 11 96 1053 1498 1094 1519 the
18 1 2 12 96 1104 1498 1171 1519 value
18 1 2 13 96 1181 1499 1194 1520 0
18 1 2 14 96 1205 1498 1280 1519 which
18 1 2 15 96 1290 1505 1371 1519 means
18 1 2 16 96 1382 1498 1449 1519 fewer
19 1 1 1 95 251 1536 298 1557 and
19 1 1 2 95 310 1536 377 1557 fewer
19 1 1 3 96 389 1536 414 1557 of
19 1 1 4 96 423 1536 464 1557 the
19 1 1 5 96 476 1543 504 1557 ne
20 1 1 1 96 251 1612 269 1632 is
20 1 1 2 96 283 1611 357 1632 either
20 1 1 3 96 370 1611 419 1632 side
20 1 1 4 96 433 1611 458 1632 of
20 1 1 5 95 469 1612 482 1633 0
20 1 1 6 95 495 1612 502 1632 i
20 1 2 1 96 251 1649 298 1670 and
20 1 2 2 96 310 1656 374 1670 more
20 1 2 3 96 386 1649 412 1670 of
20 1 2 4 96 421 1649 462 1670 the
20 1 2 5 96 474 1657 502 1670 su
21 1 1 1 94 517 1536 580 1557 work
21 1 1 2 96 591 1536 635 1557 sub
21 1 1 3 95 647 1536 706 1557 links
21 1 1 4 96 719 1543 757 1557 are
21 1 1 5 96 769 1536 833 1557 used.
21 1 1 6 96 850 1536 1007 1563 Fortunately,
21 1 1 7 96 1020 1538 1066 1557 two
21 1 1 8 96 1077 1536 1157 1563 things
21 1 1 9 95 1169 1543 1213 1557 can
21 1 1 10 96 1224 1543 1294 1557 occur
21 1 1 11 96 1306 1539 1331 1557 to
21 1 2 1 96 251 1574 372 1594 situation:
21 1 2 2 96 390 1572 423 1601 (1)
21 1 2 3 88 436 1573 454 1594 if
21 1 2 4 88 463 1580 477 1594 a
21 1 2 5 96 486 1573 655 1600 discontinuity
21 1 2 6 96 665 1574 684 1594 is
21 1 2 7 96 695 1575 719 1594 at
21 1 2 8 96 730 1573 771 1594 the
21 1 2 9 97 781 1574 856 1600 origin
21 1 2 10 96 866 1573 933 1600 rapid
21 1 2 11 96 944 1573 1049 1600 learning
21 1 2 12 96 1059 1580 1103 1594 can
21 1 2 13 96 1113 1573 1161 1594 still
21 1 2 14 95 1171 1580 1241 1594 occur
21 1 2 15 96 1251 1574 1314 1594 since
21 1 2 16 96 1324 1574 1331 1594 i
21 1 3 1 45 616 1612 665 1638 just
21 1 3 2 95 680 1611 846 1632 disconnected
21 1 3 3 96 859 1611 963 1638 weights;
21 1 3 4 96 980 1610 1013 1639 (2)
21 1 3 5 96 1029 1618 1054 1632 as
21 1 3 6 96 1067 1611 1108 1632 the
21 1 3 7 96 1121 1611 1225 1632 network
21 1 3 8 96 1238 1612 1257 1632 is
21 1 3 9 96 1270 1611 1370 1638 trained,
21 1 3 10 96 1385 1618 1449 1632 more
22 1 1 1 96 527 1611 573 1632 will
22 1 1 2 96 587 1618 608 1632 ac
23 1 1 1 95 508 1348 511 1670 " "
24 1 1 1 95 971 1009 976 1331 " "
25 1 1 1 96 633 1310 700 1331 value
25 1 1 2 96 712 1310 789 1337 decay.
25 1 1 3 96 809 1310 923 1332 Consider
25 1 1 4 96 936 1317 950 1331 a
25 1 1 5 96 978 1317 1020 1337 deep
25 1 1 6 96 1033 1310 1137 1331 network
25 1 1 7 96 1149 1310 1207 1331 with
25 1 1 8 96 1219 1310 1274 1337 only
25 1 1 9 96 1287 1317 1330 1331 one
26 1 1 1 95 1149 1010 1154 1375 " "
27 1 1 1 95 615 1424 632 1444 it
27 1 1 2 95 649 1423 695 1444 will
27 1 1 3 96 711 1423 740 1444 be
27 1 1 4 95 756 1423 905 1450 compressed
27 1 1 5 92 921 1423 939 1444 if
27 1 1 6 61 953 1431 1011 1448 rmax
27 1 1 7 90 1031 1433 1051 1440 =
27 1 1 8 38 1067 1431 1147 1452 Pnymax
27 1 1 9 93 1167 1428 1186 1445 >
27 1 1 10 86 1204 1431 1268 1448 Wmax
27 1 1 11 96 1286 1423 1316 1450 by
28 1 1 1 68 620 1460 703 1487 arough
28 1 1 2 86 714 1468 730 1481 n
28 1 1 3 96 741 1460 821 1487 layers,
28 1 1 4 96 834 1460 874 1481 the
28 1 1 5 96 885 1462 972 1487 output
