block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 91 214 127 399 157 Extrapolating
1 1 1 2 96 414 127 599 157 entanglement
1 1 1 3 96 613 129 715 157 entropy
1 1 1 4 96 729 127 779 150 and
1 1 1 5 96 792 128 925 157 negativity
1 1 1 6 96 940 127 967 157 of
1 1 1 7 96 978 127 1081 157 disjoint
1 1 1 8 95 1094 127 1212 150 intervals
1 1 1 9 96 1226 128 1253 150 in
1 1 1 10 95 1268 127 1334 151 CFT
1 1 1 11 96 1429 128 1458 151 28
2 1 1 1 93 203 201 240 229 [31]
2 1 1 2 92 258 203 279 222 L.
2 1 1 3 96 292 203 311 223 J.
2 1 1 4 93 323 203 400 227 Dixon,
2 1 1 5 90 413 203 438 222 D.
2 1 1 6 90 451 203 547 227 Friedan,
2 1 1 7 92 559 203 582 222 E.
2 1 1 8 93 595 203 613 223 J.
2 1 1 9 91 626 203 732 222 Martinec
2 1 1 10 92 743 203 786 222 and
2 1 1 11 82 798 202 817 223 S.
2 1 1 12 93 829 203 855 222 H.
2 1 1 13 96 868 202 967 227 Shenker,
2 1 1 14 96 979 203 1040 222 Nucl.
2 1 1 15 92 1052 203 1116 228 Phys.
2 1 1 16 92 1128 203 1145 222 B
2 1 1 17 96 1158 204 1202 222 282
2 1 1 18 95 1216 201 1287 229 (1987)
2 1 1 19 95 1302 203 1332 227 13;
2 1 2 1 80 285 238 318 258 Al.
2 1 2 2 91 331 239 355 258 B.
2 1 2 3 90 368 239 553 258 Zamolodchikov,
2 1 2 4 96 565 239 626 258 Nucl.
2 1 2 5 93 639 239 702 264 Phys.
2 1 2 6 93 714 239 732 258 B
2 1 2 7 96 744 240 789 258 285
2 1 2 8 96 802 237 874 265 (1987)
2 1 2 9 95 886 239 932 263 481;
2 1 3 1 92 285 275 307 294 L.
2 1 3 2 92 320 274 511 299 Alvarez-Gaumé,
2 1 3 3 90 523 274 549 295 G.
2 1 3 4 90 561 275 594 295 W.
2 1 3 5 96 607 275 682 294 Moore
2 1 3 6 93 693 275 736 294 and
2 1 3 7 92 747 274 771 295 C.
2 1 3 8 92 783 274 843 299 Vafa,
2 1 3 9 96 856 274 970 295 Commun.
2 1 3 10 96 982 275 1052 294 Math.
2 1 3 11 96 1064 275 1128 300 Phys.
2 1 3 12 96 1142 276 1186 294 106
2 1 3 13 96 1199 276 1208 294 1
2 1 3 14 96 1222 274 1301 301 (1986);
2 1 4 1 92 285 311 309 330 E.
2 1 4 2 92 321 311 420 331 Verlinde
2 1 4 3 93 431 311 473 330 and
2 1 4 4 92 484 311 509 330 H.
2 1 4 5 92 521 311 627 335 Verlinde,
2 1 4 6 96 639 311 699 330 Nucl.
2 1 4 7 93 712 311 775 336 Phys.
2 1 4 8 93 788 311 805 330 B
2 1 4 9 96 817 312 862 330 288
2 1 4 10 96 875 310 947 337 (1987)
2 1 4 11 96 960 312 1005 335 357;
2 1 5 1 85 285 347 311 367 V.
2 1 5 2 91 323 346 349 367 G.
2 1 5 3 90 362 347 476 371 Knizhnik,
2 1 5 4 96 489 346 603 367 Commun.
2 1 5 5 96 615 347 685 366 Math.
2 1 5 6 96 698 347 761 372 Phys.
2 1 5 7 96 775 348 826 371 112,
2 1 5 8 95 840 345 911 373 (1987)
2 1 5 9 95 925 347 970 371 567;
2 1 6 1 90 285 383 315 402 M.
2 1 6 2 90 328 383 465 408 Bershadsky
2 1 6 3 96 475 383 518 402 and
2 1 6 4 93 529 382 554 402 A.
2 1 6 5 92 567 383 644 407 Radul,
2 1 6 6 96 656 383 696 402 Int.
2 1 6 7 95 709 383 727 403 J.
2 1 6 8 96 740 383 799 402 Mod.
2 1 6 9 93 812 383 875 408 Phys.
2 1 6 10 81 888 383 948 407 A02,
2 1 6 11 96 962 384 1000 403 165
