block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 508 701 569 720 HMC
1 1 1 2 91 1046 701 1170 720 RNS-HMC
2 1 1 1 95 256 760 326 785 Figure
2 1 1 2 96 349 760 367 779 6:
2 1 1 3 82 407 760 468 779 HMC
2 1 1 4 92 491 766 513 779 vs
2 1 1 5 91 536 760 667 779 RNS-HMC:
2 1 1 6 92 691 760 814 785 Comparing
2 1 1 7 92 836 766 883 779 one-
2 1 1 8 94 906 760 945 779 and
2 1 1 9 94 967 760 1151 779 two-dimensional
2 1 1 10 96 1173 760 1271 785 posterior
2 1 1 11 95 1293 760 1400 785 marginals
2 1 1 12 95 1422 760 1446 779 of
2 1 2 1 83 256 789 289 814 81,
2 1 2 2 69 297 789 340 814 B11,
2 1 2 3 75 348 790 391 814 B21,
2 1 2 4 69 399 789 443 814 831,
2 1 2 5 24 450 789 485 814 Bar
2 1 2 6 93 496 790 558 809 based
2 1 2 7 96 566 796 592 809 on
2 1 2 8 96 601 790 633 809 the
2 1 2 9 96 642 790 721 815 logistic
2 1 2 10 96 730 790 842 815 regression
2 1 2 11 96 850 790 917 809 model
2 1 2 12 96 927 790 974 809 with
2 1 2 13 96 983 790 1089 809 simulated
2 1 2 14 96 1097 790 1147 809 data.
3 1 1 1 95 303 851 1139 854 " "
4 1 1 1 95 495 851 1139 854 " "
5 1 1 1 95 303 1103 758 1106 " "
6 1 1 1 95 303 1215 758 1218 " "
7 1 1 1 95 836 852 839 1326 " "
8 1 1 1 95 1049 852 1052 1326 " "
9 1 1 1 95 1139 852 1142 1326 " "
10 1 1 1 95 1395 851 1398 1329 " "
11 1 1 1 95 302 852 305 1326 " "
12 1 1 1 95 571 852 574 1326 " "
13 1 1 1 95 303 1325 1397 1331 " "
14 1 1 1 96 255 1358 315 1377 Table
14 1 1 2 96 328 1358 344 1377 1:
14 1 1 3 96 360 1360 470 1383 Comparing
14 1 1 4 96 480 1360 509 1377 the
14 1 1 5 96 519 1360 624 1382 algorithms
14 1 1 6 96 634 1360 686 1382 using
14 1 1 7 96 696 1360 767 1382 logistic
14 1 1 8 95 777 1360 878 1382 regression
14 1 1 9 96 888 1360 958 1377 models
