block para line word confidence X1 Y1 X2 Y2 token
1 1 1 1 96 453 207 509 226 MCF
1 1 1 2 96 522 208 594 226 WITH
1 1 1 3 96 607 207 730 226 SURGERY
1 1 1 4 95 743 207 796 226 FOR
1 1 1 5 95 809 207 869 226 LOW
1 1 1 6 92 881 207 1010 226 ENTROPY
1 1 1 7 92 1022 207 1247 226 HYPERSURFACES
1 1 1 8 95 1420 208 1444 225 22
2 1 1 1 96 306 422 378 446 Since
2 1 1 2 96 392 422 424 452 by
2 1 1 3 94 438 422 531 445 lemma
2 1 1 4 95 544 423 583 446 2.5
2 1 1 5 96 597 422 640 445 the
2 1 1 6 96 654 425 760 452 entropy
2 1 1 7 95 773 422 811 445 for
2 1 1 8 95 825 430 839 445 a
2 1 1 9 95 853 425 969 452 compact
2 1 1 10 96 983 422 1161 452 hypersurface
2 1 1 11 96 1174 422 1223 445 will
2 1 1 12 96 1237 422 1269 445 be
2 1 1 13 96 1283 422 1398 445 attained
2 1 1 14 96 1411 422 1444 452 by
2 1 2 1 93 256 467 289 482 an
2 1 2 2 93 304 459 327 482 F
2 1 2 3 95 342 459 482 482 functional
2 1 2 4 96 497 459 614 482 centered
2 1 2 5 95 628 460 654 482 in
2 1 2 6 95 669 460 701 482 its
2 1 2 7 96 717 467 811 482 convex
2 1 2 8 95 825 459 884 488 hull,
2 1 2 9 96 901 459 1009 482 without
2 1 2 10 96 1025 459 1074 482 loss
2 1 2 11 96 1089 459 1116 482 of
2 1 2 12 96 1128 459 1266 489 generality
2 1 2 13 66 1280 467 1309 488 x
2 1 2 14 96 1325 460 1345 482 is
2 1 2 15 96 1360 460 1386 482 in
2 1 2 16 96 1400 459 1444 482 the
3 1 1 1 96 256 504 350 519 convex
3 1 1 2 96 362 496 413 519 hull
3 1 1 3 93 425 496 452 519 of
3 1 1 4 49 462 492 523 519 M#.
3 1 1 5 96 542 496 613 520 Since
3 1 1 6 96 625 496 662 519 for
3 1 1 7 96 674 496 735 519 such
3 1 1 8 66 747 504 775 525 x
3 1 1 9 97 788 504 824 519 we
3 1 1 10 97 836 496 898 519 have
3 1 1 11 65 913 494 936 527 |x
3 1 1 12 85 946 510 966 511 —
3 1 1 13 0 976 494 1011 527 2o|
3 1 1 14 61 1028 498 1048 524 <
3 1 1 15 61 1062 496 1087 519 D
3 1 1 16 92 1100 502 1120 520 <
3 1 1 17 48 1133 491 1183 525 00”,
